c Instance Type h
c
n 700
c w	 v1	 v2
i 965	 260 	 403 
i 153	 240 	 830 
i 888	 212 	 840 
i 878	 981 	 462 
i 743	 408 	 822 
i 114	 257 	 710 
i 332	 254 	 736 
i 760	 498 	 522 
i 968	 717 	 441 
i 478	 287 	 8 
i 880	 252 	 117 
i 711	 405 	 376 
i 551	 294 	 615 
i 13	 173 	 827 
i 835	 915 	 808 
i 545	 30 	 217 
i 282	 361 	 473 
i 804	 122 	 727 
i 246	 90 	 225 
i 253	 567 	 942 
i 369	 448 	 229 
i 745	 159 	 481 
i 360	 709 	 886 
i 187	 722 	 180 
i 995	 557 	 352 
i 212	 103 	 268 
i 685	 385 	 298 
i 413	 190 	 659 
i 637	 435 	 780 
i 580	 687 	 870 
i 809	 57 	 438 
i 291	 801 	 885 
i 177	 162 	 44 
i 357	 349 	 753 
i 709	 345 	 476 
i 977	 557 	 34 
i 275	 242 	 136 
i 933	 654 	 521 
i 714	 292 	 710 
i 584	 872 	 145 
i 22	 681 	 832 
i 907	 971 	 888 
i 950	 149 	 690 
i 704	 506 	 852 
i 181	 216 	 201 
i 214	 194 	 546 
i 350	 469 	 103 
i 870	 402 	 345 
i 581	 117 	 999 
i 725	 700 	 292 
i 558	 722 	 164 
i 446	 629 	 844 
i 137	 580 	 816 
i 988	 284 	 965 
i 190	 464 	 471 
i 735	 678 	 687 
i 837	 28 	 880 
i 182	 898 	 349 
i 182	 479 	 751 
i 473	 204 	 867 
i 636	 761 	 568 
i 481	 208 	 290 
i 297	 345 	 919 
i 262	 334 	 499 
i 732	 523 	 783 
i 419	 258 	 248 
i 300	 96 	 925 
i 648	 278 	 953 
i 399	 459 	 851 
i 267	 931 	 330 
i 834	 567 	 534 
i 125	 48 	 296 
i 44	 345 	 504 
i 542	 606 	 848 
i 325	 339 	 182 
i 573	 758 	 705 
i 498	 58 	 962 
i 451	 706 	 58 
i 302	 105 	 335 
i 632	 372 	 794 
i 166	 206 	 725 
i 462	 330 	 293 
i 965	 373 	 341 
i 814	 915 	 686 
i 995	 241 	 292 
i 700	 813 	 631 
i 663	 311 	 390 
i 721	 762 	 448 
i 57	 65 	 154 
i 850	 696 	 259 
i 576	 862 	 630 
i 868	 324 	 836 
i 210	 289 	 166 
i 895	 103 	 539 
i 188	 99 	 454 
i 818	 799 	 695 
i 209	 463 	 508 
i 656	 184 	 819 
i 809	 240 	 581 
i 69	 90 	 646 
i 699	 665 	 342 
i 535	 534 	 204 
i 701	 744 	 528 
i 240	 639 	 816 
i 694	 827 	 919 
i 389	 646 	 19 
i 897	 854 	 817 
i 716	 510 	 280 
i 298	 320 	 464 
i 943	 388 	 703 
i 285	 88 	 793 
i 489	 622 	 458 
i 17	 323 	 992 
i 833	 562 	 736 
i 753	 257 	 376 
i 772	 646 	 203 
i 589	 543 	 848 
i 869	 259 	 702 
i 334	 557 	 213 
i 37	 500 	 532 
i 829	 785 	 920 
i 288	 275 	 8 
i 281	 292 	 630 
i 18	 125 	 952 
i 393	 878 	 515 
i 596	 650 	 771 
i 444	 240 	 417 
i 147	 110 	 960 
i 359	 443 	 220 
i 891	 480 	 776 
i 812	 310 	 277 
i 820	 598 	 62 
i 450	 878 	 336 
i 402	 895 	 627 
i 916	 289 	 752 
i 688	 884 	 631 
i 106	 328 	 281 
i 66	 475 	 521 
i 285	 833 	 630 
