c Instance Type h
c
n 700
c w	 v1	 v2
i 545	 634 	 705 
i 230	 272 	 374 
i 283	 622 	 50 
i 103	 960 	 325 
i 257	 84 	 785 
i 272	 716 	 170 
i 920	 685 	 438 
i 150	 608 	 779 
i 976	 488 	 977 
i 846	 429 	 588 
i 552	 974 	 377 
i 925	 204 	 11 
i 974	 486 	 283 
i 300	 589 	 904 
i 86	 845 	 865 
i 256	 117 	 948 
i 693	 38 	 665 
i 472	 187 	 350 
i 450	 164 	 958 
i 38	 11 	 447 
i 414	 562 	 875 
i 425	 488 	 850 
i 708	 463 	 54 
i 613	 762 	 540 
i 478	 848 	 129 
i 427	 104 	 974 
i 92	 796 	 92 
i 442	 269 	 129 
i 401	 718 	 316 
i 847	 756 	 479 
i 723	 170 	 490 
i 573	 595 	 53 
i 627	 303 	 540 
i 167	 915 	 4 
i 295	 394 	 766 
i 269	 820 	 614 
i 361	 912 	 717 
i 489	 355 	 514 
i 805	 755 	 782 
i 285	 602 	 500 
i 774	 326 	 257 
i 826	 898 	 427 
i 367	 526 	 22 
i 370	 692 	 325 
i 136	 986 	 241 
i 749	 256 	 634 
i 467	 616 	 455 
i 980	 106 	 367 
i 762	 910 	 721 
i 263	 195 	 476 
i 519	 968 	 79 
i 945	 794 	 404 
i 967	 162 	 303 
i 292	 531 	 828 
i 532	 666 	 520 
i 167	 416 	 507 
i 621	 882 	 763 
i 987	 862 	 380 
i 709	 625 	 485 
i 186	 887 	 396 
i 265	 407 	 590 
i 668	 352 	 559 
i 971	 320 	 354 
i 799	 611 	 515 
i 320	 144 	 46 
i 827	 310 	 712 
i 591	 930 	 128 
i 970	 918 	 11 
i 456	 628 	 872 
i 851	 813 	 498 
i 442	 78 	 385 
i 1	 746 	 791 
i 355	 717 	 144 
i 869	 517 	 463 
i 915	 837 	 75 
i 627	 664 	 219 
i 755	 256 	 528 
i 766	 226 	 459 
i 638	 682 	 378 
i 137	 533 	 6 
i 521	 975 	 818 
i 313	 975 	 895 
i 457	 331 	 642 
i 920	 200 	 359 
i 994	 116 	 875 
i 214	 743 	 712 
i 741	 499 	 377 
i 201	 265 	 632 
i 578	 903 	 858 
i 583	 40 	 540 
i 401	 560 	 74 
i 297	 873 	 49 
i 938	 330 	 25 
i 298	 250 	 355 
i 174	 245 	 555 
i 885	 458 	 670 
i 263	 200 	 413 
i 895	 400 	 911 
i 753	 978 	 176 
i 293	 561 	 80 
i 366	 962 	 119 
i 415	 259 	 679 
i 439	 198 	 552 
i 793	 496 	 882 
i 348	 669 	 133 
i 19	 555 	 377 
i 432	 817 	 835 
i 344	 712 	 35 
i 520	 466 	 435 
i 599	 759 	 413 
i 717	 126 	 974 
i 396	 540 	 936 
i 947	 978 	 196 
i 830	 771 	 394 
i 962	 120 	 889 
i 339	 138 	 558 
i 175	 569 	 113 
i 210	 913 	 930 
i 644	 433 	 643 
i 58	 32 	 109 
i 32	 748 	 868 
i 968	 145 	 993 
i 164	 93 	 533 
i 557	 922 	 511 
i 447	 884 	 283 
i 5	 224 	 402 
i 118	 398 	 540 
i 48	 607 	 110 
i 691	 252 	 23 
i 800	 309 	 455 
i 668	 341 	 487 
i 661	 309 	 235 
i 195	 473 	 380 
i 706	 31 	 472 
i 988	 477 	 394 
i 391	 482 	 278 
i 931	 599 	 501 
i 41	 647 	 899 
i 63	 338 	 506 
i 518	 138 	 758 
i 5	 806 	 68 
i 240	 468 	 408 
i 619	 662 	 717 
i 91	 369 	 191 
i 485	 358 	 221 
i 762	 748 	 697 
i 264	 679 	 179 
i 164	 720 	 778 
i 670	 782 	 425 
i 428	 301 	 762 
i 495	 305 	 900 
i 903	 544 	 706 
i 620	 164 	 175 
i 810	 254 	 837 
i 32	 738 	 206 
i 728	 501 	 563 
i 907	 765 	 311 
i 685	 929 	 990 
i 111	 599 	 710 
i 872	 27 	 493 
i 773	 522 	 793 
i 480	 425 	 98 
i 654	 46 	 642 
i 491	 855 	 805 
i 697	 887 	 60 
i 260	 616 	 798 
i 571	 523 	 300 
i 561	 209 	 66 
i 272	 319 	 994 
i 765	 192 	 593 
i 558	 965 	 620 
i 656	 445 	 143 
i 299	 100 	 567 
i 105	 590 	 612 
i 164	 288 	 468 
i 962	 547 	 355 
i 262	 118 	 970 
i 327	 679 	 494 
i 322	 951 	 703 
i 915	 716 	 22 
i 535	 275 	 214 
i 677	 931 	 179 
i 245	 230 	 624 
i 857	 335 	 723 
i 325	 498 	 314 
i 680	 460 	 601 
i 651	 722 	 148 
i 146	 49 	 266 
i 848	 371 	 945 
i 870	 286 	 896 
i 84	 820 	 613 
i 263	 498 	 887 
i 886	 743 	 819 
i 610	 600 	 50 
i 923	 925 	 384 
i 525	 606 	 882 
i 673	 258 	 342 
i 938	 403 	 65 
i 883	 251 	 114 
i 779	 122 	 484 
i 393	 206 	 769 
i 280	 468 	 590 
i 99	 355 	 89 
i 149	 964 	 831 
i 532	 888 	 432 
i 414	 413 	 357 
i 756	 87 	 963 
i 820	 25 	 221 
i 933	 908 	 623 
i 417	 688 	 874 
i 187	 81 	 995 
i 776	 361 	 201 
i 864	 460 	 669 
i 695	 608 	 24 
i 127	 140 	 988 
i 484	 553 	 877 
i 448	 310 	 291 
i 668	 130 	 377 
i 292	 64 	 401 
i 166	 481 	 310 
i 162	 667 	 997 
i 362	 443 	 78 
i 32	 307 	 438 
i 56	 3 	 897 
i 44	 130 	 505 
i 921	 614 	 645 
i 212	 62 	 198 
i 589	 730 	 507 
i 989	 22 	 637 
i 300	 188 	 700 
i 297	 349 	 181 
i 374	 711 	 847 
i 812	 742 	 291 
i 709	 797 	 597 
i 215	 841 	 599 
i 859	 763 	 729 
i 57	 974 	 343 
i 564	 563 	 404 
i 202	 553 	 135 
i 901	 852 	 156 
i 83	 150 	 343 
i 930	 523 	 692 
i 221	 335 	 403 
i 817	 45 	 146 
i 417	 259 	 943 
i 146	 119 	 785 
i 489	 176 	 548 
i 893	 739 	 523 
i 28	 940 	 87 
i 183	 842 	 639 
i 526	 924 	 492 
i 218	 854 	 641 
i 621	 76 	 165 
i 767	 892 	 500 
i 710	 310 	 545 
i 495	 456 	 804 
i 44	 944 	 922 
i 566	 838 	 98 
i 652	 865 	 837 
i 292	 49 	 778 
i 784	 574 	 620 
i 426	 792 	 545 
i 591	 414 	 400 
i 91	 181 	 475 
i 635	 891 	 368 
i 439	 387 	 677 
i 361	 430 	 134 
i 459	 996 	 78 
i 296	 649 	 915 
i 74	 941 	 781 
i 694	 725 	 829 
i 239	 152 	 404 
i 639	 742 	 197 
i 114	 832 	 610 
i 482	 468 	 791 
i 159	 907 	 682 
i 292	 269 	 69 
i 370	 727 	 498 
i 286	 23 	 495 
i 68	 97 	 144 
i 896	 790 	 85 
i 301	 30 	 810 
i 498	 668 	 961 
i 109	 782 	 703 
i 899	 264 	 535 
i 581	 423 	 4 
i 649	 715 	 910 
i 148	 86 	 179 
i 642	 371 	 906 
i 786	 438 	 929 
i 870	 335 	 26 
i 681	 636 	 816 
i 642	 134 	 845 
i 345	 242 	 514 
i 880	 142 	 297 
i 883	 722 	 561 
i 794	 372 	 983 
i 973	 520 	 699 
i 879	 163 	 784 
i 808	 948 	 156 
i 834	 819 	 594 
i 650	 500 	 929 
i 496	 142 	 566 
i 10	 486 	 699 
i 306	 367 	 941 
i 866	 251 	 83 
i 850	 45 	 805 
i 550	 19 	 177 
i 335	 897 	 697 
i 491	 706 	 859 
i 86	 540 	 807 
i 15	 191 	 626 
i 580	 686 	 126 
i 280	 695 	 267 
i 221	 2 	 753 
i 304	 868 	 121 
i 109	 719 	 371 
i 286	 269 	 416 
i 982	 603 	 434 
i 841	 95 	 332 
i 649	 180 	 38 
i 275	 194 	 578 
i 401	 774 	 768 
i 668	 55 	 455 
i 421	 276 	 151 
i 542	 579 	 152 
i 912	 688 	 21 
i 329	 974 	 739 
