c Instance Type h
c
n 700
c w	 v1	 v2
i 504	 694 	 301 
i 189	 3 	 99 
i 333	 663 	 690 
i 488	 467 	 638 
i 496	 990 	 548 
i 687	 231 	 933 
i 870	 214 	 329 
i 198	 546 	 391 
i 713	 594 	 947 
i 401	 99 	 534 
i 702	 602 	 480 
i 800	 791 	 175 
i 491	 124 	 178 
i 130	 611 	 840 
i 677	 108 	 308 
i 611	 795 	 299 
i 940	 665 	 530 
i 331	 862 	 743 
i 279	 575 	 289 
i 812	 976 	 883 
i 293	 678 	 981 
i 467	 479 	 583 
i 645	 969 	 375 
i 485	 100 	 498 
i 793	 777 	 110 
i 92	 388 	 217 
i 621	 328 	 12 
i 364	 659 	 677 
i 653	 937 	 540 
i 536	 750 	 116 
i 518	 43 	 92 
i 102	 510 	 769 
i 476	 155 	 248 
i 974	 640 	 218 
i 84	 433 	 317 
i 300	 525 	 94 
i 312	 146 	 482 
i 989	 510 	 810 
i 529	 163 	 469 
i 644	 699 	 406 
i 735	 218 	 156 
i 505	 319 	 199 
i 752	 795 	 708 
i 970	 769 	 863 
i 287	 852 	 504 
i 381	 153 	 937 
i 862	 465 	 462 
i 672	 454 	 607 
i 141	 983 	 118 
i 547	 627 	 280 
i 702	 363 	 978 
i 900	 867 	 197 
i 609	 620 	 515 
i 473	 590 	 310 
i 976	 877 	 80 
i 913	 258 	 931 
i 376	 121 	 84 
i 982	 792 	 549 
i 100	 933 	 3 
i 380	 481 	 985 
i 359	 183 	 613 
i 555	 84 	 975 
i 71	 693 	 843 
i 380	 166 	 463 
i 459	 143 	 54 
i 391	 56 	 930 
i 475	 431 	 188 
i 24	 414 	 308 
i 26	 514 	 101 
i 12	 894 	 35 
i 624	 253 	 515 
i 600	 808 	 698 
i 444	 878 	 781 
i 907	 259 	 475 
i 960	 718 	 640 
i 891	 109 	 782 
i 79	 583 	 838 
i 387	 607 	 270 
i 488	 633 	 684 
i 522	 644 	 198 
i 38	 269 	 93 
i 735	 869 	 345 
i 517	 313 	 153 
i 991	 220 	 32 
i 632	 180 	 290 
i 415	 71 	 8 
i 253	 150 	 117 
i 523	 537 	 700 
i 207	 26 	 307 
i 405	 548 	 939 
i 497	 585 	 584 
i 841	 320 	 853 
i 994	 836 	 722 
i 26	 828 	 35 
i 316	 460 	 255 
i 323	 874 	 435 
i 440	 127 	 506 
i 140	 650 	 655 
i 447	 856 	 193 
i 387	 261 	 218 
i 971	 757 	 765 
i 824	 599 	 351 
i 547	 593 	 670 
i 582	 619 	 507 
i 836	 934 	 335 
i 271	 258 	 794 
i 776	 697 	 669 
i 432	 837 	 796 
i 625	 285 	 446 
i 843	 671 	 302 
i 609	 643 	 562 
