c Instance Type h
c
n 100
c w	 v1	 v2
i 854	 401 	 546 
i 135	 857 	 886 
i 288	 674 	 155 
i 553	 655 	 796 
i 939	 250 	 421 
i 439	 650 	 140 
i 115	 930 	 272 
i 945	 231 	 220 
i 426	 977 	 461 
i 622	 328 	 666 
i 168	 183 	 12 
i 55	 317 	 413 
i 209	 605 	 270 
i 5	 159 	 944 
i 426	 98 	 599 
i 566	 537 	 848 
i 838	 652 	 499 
i 59	 597 	 429 
i 519	 23 	 660 
i 186	 645 	 637 
i 197	 813 	 965 
i 610	 867 	 148 
i 880	 77 	 465 
i 824	 82 	 70 
i 423	 508 	 228 
i 271	 75 	 326 
i 769	 912 	 862 
i 199	 970 	 514 
i 858	 490 	 112 
i 496	 675 	 134 
i 461	 872 	 779 
i 609	 483 	 592 
i 75	 363 	 460 
i 144	 187 	 537 
i 372	 609 	 618 
i 698	 880 	 127 
i 561	 650 	 201 
i 75	 848 	 114 
i 187	 707 	 85 
i 321	 203 	 574 
i 100	 664 	 250 
i 692	 274 	 122 
i 152	 348 	 604 
i 688	 492 	 966 
i 307	 863 	 154 
i 433	 562 	 763 
i 633	 123 	 643 
i 747	 198 	 294 
i 831	 384 	 142 
i 406	 705 	 849 
i 655	 804 	 52 
i 777	 496 	 716 
i 381	 648 	 989 
i 348	 337 	 337 
i 502	 643 	 828 
i 265	 77 	 692 
i 908	 710 	 255 
i 202	 457 	 377 
i 344	 288 	 574 
i 193	 693 	 958 
i 245	 349 	 663 
i 961	 126 	 468 
i 950	 507 	 964 
i 288	 855 	 612 
i 117	 357 	 949 
i 809	 622 	 592 
i 64	 530 	 669 
i 440	 732 	 379 
i 15	 76 	 835 
i 973	 269 	 124 
i 636	 513 	 817 
i 105	 474 	 166 
i 69	 425 	 291 
i 681	 713 	 798 
i 630	 829 	 653 
i 223	 639 	 11 
i 891	 702 	 632 
i 270	 143 	 162 
i 106	 158 	 893 
i 229	 131 	 969 
i 46	 767 	 238 
i 211	 871 	 751 
i 502	 940 	 226 
i 300	 622 	 650 
i 953	 252 	 364 
i 963	 475 	 193 
i 595	 367 	 832 
i 757	 637 	 534 
i 651	 742 	 677 
i 620	 971 	 834 
i 858	 17 	 964 
i 609	 228 	 732 
i 834	 730 	 604 
i 485	 31 	 544 
i 848	 983 	 166 
i 42	 946 	 418 
i 873	 542 	 893 
i 408	 300 	 260 
i 85	 950 	 897 
i 918	 571 	 639 
c
c
W 23601
c end of file
