c Instance Type h
c
n 100
c w	 v1	 v2
i 510	 812 	 18 
i 719	 362 	 322 
i 275	 377 	 541 
i 873	 510 	 990 
i 872	 776 	 131 
i 465	 575 	 349 
i 988	 495 	 800 
i 220	 536 	 613 
i 288	 593 	 109 
i 37	 997 	 749 
i 55	 508 	 264 
i 376	 227 	 76 
i 917	 502 	 438 
i 908	 375 	 814 
i 39	 248 	 324 
i 387	 713 	 101 
i 188	 701 	 676 
i 801	 920 	 171 
i 910	 208 	 707 
i 659	 245 	 300 
i 922	 299 	 298 
i 998	 675 	 805 
i 436	 593 	 33 
i 251	 501 	 534 
i 575	 540 	 909 
i 675	 927 	 157 
i 352	 115 	 869 
i 522	 916 	 570 
i 230	 826 	 491 
i 530	 486 	 699 
i 827	 409 	 943 
i 633	 407 	 243 
i 665	 843 	 918 
i 199	 94 	 511 
i 109	 668 	 13 
i 265	 344 	 552 
i 135	 695 	 479 
i 705	 218 	 594 
i 196	 447 	 511 
i 894	 977 	 337 
i 838	 804 	 823 
i 82	 438 	 232 
i 999	 103 	 638 
i 511	 302 	 482 
i 523	 410 	 576 
i 76	 675 	 245 
i 555	 810 	 588 
i 149	 515 	 284 
i 660	 711 	 502 
i 996	 606 	 949 
i 819	 444 	 926 
i 52	 525 	 730 
i 690	 525 	 169 
i 172	 36 	 271 
i 747	 558 	 573 
i 991	 634 	 983 
i 580	 189 	 658 
i 864	 338 	 468 
i 366	 997 	 983 
i 315	 994 	 694 
i 241	 814 	 300 
i 971	 865 	 744 
i 140	 555 	 270 
i 411	 727 	 794 
i 983	 474 	 829 
i 966	 466 	 388 
i 625	 47 	 23 
i 94	 910 	 211 
i 77	 277 	 548 
i 771	 591 	 545 
i 72	 832 	 540 
i 815	 803 	 354 
i 85	 943 	 219 
i 879	 354 	 773 
i 709	 338 	 501 
i 98	 305 	 974 
i 120	 929 	 441 
i 330	 23 	 488 
i 878	 100 	 398 
i 423	 870 	 674 
i 962	 941 	 266 
i 317	 757 	 98 
i 535	 842 	 901 
i 309	 721 	 844 
i 809	 431 	 199 
i 784	 528 	 536 
i 226	 647 	 840 
i 713	 977 	 770 
i 112	 855 	 793 
i 786	 279 	 892 
i 52	 242 	 763 
i 150	 558 	 705 
i 51	 93 	 463 
i 895	 402 	 305 
i 94	 212 	 27 
i 629	 995 	 458 
i 470	 222 	 985 
i 240	 934 	 633 
i 34	 46 	 610 
i 926	 831 	 465 
c
c
W 25187
c end of file
