c Instance Type h
c
n 100
c w	 v1	 v2
i 545	 634 	 705 
i 230	 272 	 374 
i 283	 622 	 50 
i 103	 960 	 325 
i 257	 84 	 785 
i 272	 716 	 170 
i 920	 685 	 438 
i 150	 608 	 779 
i 976	 488 	 977 
i 846	 429 	 588 
i 552	 974 	 377 
i 925	 204 	 11 
i 974	 486 	 283 
i 300	 589 	 904 
i 86	 845 	 865 
i 256	 117 	 948 
i 693	 38 	 665 
i 472	 187 	 350 
i 450	 164 	 958 
i 38	 11 	 447 
i 414	 562 	 875 
i 425	 488 	 850 
i 708	 463 	 54 
i 613	 762 	 540 
i 478	 848 	 129 
i 427	 104 	 974 
i 92	 796 	 92 
i 442	 269 	 129 
i 401	 718 	 316 
i 847	 756 	 479 
i 723	 170 	 490 
i 573	 595 	 53 
i 627	 303 	 540 
i 167	 915 	 4 
i 295	 394 	 766 
i 269	 820 	 614 
i 361	 912 	 717 
i 489	 355 	 514 
i 805	 755 	 782 
i 285	 602 	 500 
i 774	 326 	 257 
i 826	 898 	 427 
i 367	 526 	 22 
i 370	 692 	 325 
i 136	 986 	 241 
i 749	 256 	 634 
i 467	 616 	 455 
i 980	 106 	 367 
i 762	 910 	 721 
i 263	 195 	 476 
i 519	 968 	 79 
i 945	 794 	 404 
i 967	 162 	 303 
i 292	 531 	 828 
i 532	 666 	 520 
i 167	 416 	 507 
i 621	 882 	 763 
i 987	 862 	 380 
i 709	 625 	 485 
i 186	 887 	 396 
i 265	 407 	 590 
i 668	 352 	 559 
i 971	 320 	 354 
i 799	 611 	 515 
i 320	 144 	 46 
i 827	 310 	 712 
i 591	 930 	 128 
i 970	 918 	 11 
i 456	 628 	 872 
i 851	 813 	 498 
i 442	 78 	 385 
i 1	 746 	 791 
i 355	 717 	 144 
i 869	 517 	 463 
i 915	 837 	 75 
i 627	 664 	 219 
i 755	 256 	 528 
i 766	 226 	 459 
i 638	 682 	 378 
i 137	 533 	 6 
i 521	 975 	 818 
i 313	 975 	 895 
i 457	 331 	 642 
i 920	 200 	 359 
i 994	 116 	 875 
i 214	 743 	 712 
i 741	 499 	 377 
i 201	 265 	 632 
i 578	 903 	 858 
i 583	 40 	 540 
i 401	 560 	 74 
i 297	 873 	 49 
i 938	 330 	 25 
i 298	 250 	 355 
i 174	 245 	 555 
i 885	 458 	 670 
i 263	 200 	 413 
i 895	 400 	 911 
i 753	 978 	 176 
i 293	 561 	 80 
c
c
W 26665
c end of file
