c Instance Type h
c
n 100
c w	 v1	 v2
i 321	 580 	 857 
i 125	 947 	 834 
i 282	 430 	 646 
i 825	 706 	 961 
i 57	 445 	 266 
i 634	 13 	 817 
i 683	 244 	 634 
i 16	 164 	 54 
i 737	 587 	 591 
i 812	 402 	 328 
i 669	 723 	 399 
i 504	 848 	 979 
i 150	 130 	 926 
i 111	 954 	 357 
i 376	 11 	 64 
i 194	 645 	 508 
i 827	 328 	 520 
i 881	 344 	 764 
i 473	 81 	 927 
i 800	 893 	 515 
i 200	 563 	 917 
i 179	 67 	 640 
i 106	 217 	 489 
i 463	 327 	 619 
i 526	 703 	 573 
i 34	 897 	 584 
i 554	 725 	 230 
i 318	 606 	 558 
i 246	 80 	 901 
i 760	 879 	 982 
i 677	 80 	 875 
i 318	 258 	 438 
i 807	 364 	 505 
i 426	 826 	 721 
i 999	 352 	 49 
i 584	 386 	 752 
i 813	 940 	 649 
i 371	 259 	 374 
i 272	 504 	 980 
i 254	 265 	 60 
i 130	 941 	 939 
i 568	 260 	 19 
i 73	 67 	 277 
i 793	 493 	 640 
i 842	 492 	 467 
i 594	 76 	 818 
i 243	 888 	 205 
i 617	 260 	 145 
i 598	 532 	 404 
i 658	 785 	 907 
i 597	 915 	 172 
i 616	 483 	 114 
i 893	 556 	 374 
i 534	 349 	 441 
i 1	 192 	 933 
i 819	 785 	 425 
i 24	 29 	 501 
i 169	 646 	 390 
i 572	 244 	 649 
i 480	 901 	 181 
i 651	 499 	 966 
i 765	 116 	 881 
i 139	 9 	 365 
i 579	 542 	 920 
i 513	 543 	 270 
i 937	 362 	 461 
i 438	 386 	 247 
i 828	 555 	 276 
i 477	 127 	 921 
i 658	 607 	 166 
i 624	 259 	 68 
i 506	 24 	 566 
i 870	 163 	 681 
i 791	 742 	 690 
i 61	 255 	 233 
i 522	 192 	 775 
i 769	 630 	 137 
i 45	 458 	 522 
i 966	 935 	 77 
i 132	 593 	 204 
i 199	 218 	 810 
i 765	 723 	 69 
i 447	 594 	 93 
i 137	 386 	 255 
i 369	 447 	 996 
i 144	 969 	 251 
i 281	 738 	 443 
i 802	 783 	 74 
i 879	 749 	 532 
i 84	 881 	 467 
i 893	 81 	 61 
i 962	 845 	 279 
i 56	 292 	 3 
i 311	 429 	 596 
i 307	 798 	 982 
i 558	 942 	 429 
i 2	 223 	 398 
i 75	 26 	 136 
i 607	 904 	 919 
i 75	 988 	 668 
c
c
W 23715
c end of file
