c Instance Type h
c
n 100
c w	 v1	 v2
i 931	 106 	 530 
i 425	 607 	 352 
i 280	 24 	 345 
i 711	 80 	 890 
i 903	 260 	 22 
i 449	 859 	 740 
i 547	 209 	 281 
i 77	 879 	 410 
i 600	 530 	 527 
i 821	 656 	 449 
i 351	 587 	 627 
i 703	 13 	 732 
i 48	 292 	 340 
i 938	 4 	 363 
i 960	 906 	 443 
i 700	 355 	 703 
i 980	 901 	 562 
i 391	 978 	 771 
i 918	 578 	 650 
i 368	 399 	 180 
i 995	 750 	 836 
i 728	 453 	 423 
i 68	 501 	 436 
i 431	 439 	 727 
i 874	 400 	 730 
i 577	 100 	 637 
i 140	 81 	 991 
i 911	 471 	 892 
i 561	 390 	 871 
i 741	 757 	 449 
i 577	 753 	 848 
i 1	 481 	 599 
i 436	 548 	 52 
i 164	 979 	 553 
i 894	 854 	 992 
i 531	 431 	 392 
i 522	 571 	 491 
i 415	 482 	 571 
i 286	 43 	 43 
i 735	 784 	 433 
i 584	 361 	 191 
i 183	 361 	 943 
i 234	 796 	 424 
i 787	 960 	 972 
i 779	 854 	 952 
i 171	 385 	 806 
i 661	 907 	 238 
i 233	 323 	 808 
i 276	 609 	 291 
i 708	 344 	 334 
i 898	 927 	 118 
i 841	 110 	 478 
i 265	 344 	 838 
i 238	 131 	 635 
i 190	 909 	 595 
i 995	 81 	 449 
i 233	 742 	 834 
i 42	 974 	 742 
i 332	 250 	 65 
i 666	 958 	 673 
i 783	 856 	 17 
i 261	 698 	 944 
i 100	 963 	 54 
i 734	 201 	 398 
i 330	 390 	 528 
i 778	 386 	 438 
i 613	 619 	 518 
i 355	 661 	 260 
i 420	 993 	 235 
i 93	 659 	 484 
i 110	 442 	 442 
i 54	 703 	 299 
i 108	 802 	 996 
i 506	 537 	 959 
i 34	 867 	 160 
i 472	 646 	 550 
i 989	 259 	 936 
i 249	 614 	 556 
i 484	 34 	 217 
i 967	 127 	 210 
i 410	 236 	 869 
i 709	 290 	 311 
i 705	 398 	 15 
i 665	 903 	 817 
i 825	 937 	 354 
i 375	 409 	 222 
i 312	 398 	 867 
i 867	 647 	 127 
i 85	 131 	 740 
i 295	 99 	 773 
i 164	 509 	 899 
i 474	 218 	 136 
i 488	 923 	 425 
i 306	 588 	 823 
i 659	 413 	 726 
i 881	 788 	 663 
i 748	 101 	 73 
i 874	 968 	 470 
i 615	 53 	 118 
i 389	 347 	 249 
c
c
W 25645
c end of file
