c Instance Type h
c
n 100
c w	 v1	 v2
i 663	 666 	 383 
i 539	 439 	 397 
i 292	 724 	 255 
i 2	 845 	 762 
i 619	 912 	 551 
i 104	 581 	 603 
i 804	 671 	 598 
i 735	 349 	 151 
i 866	 462 	 433 
i 887	 721 	 732 
i 271	 384 	 133 
i 667	 922 	 798 
i 922	 214 	 237 
i 685	 216 	 960 
i 237	 834 	 806 
i 839	 938 	 719 
i 437	 742 	 300 
i 588	 478 	 971 
i 22	 344 	 321 
i 753	 232 	 782 
i 885	 503 	 503 
i 683	 170 	 887 
i 920	 93 	 809 
i 881	 778 	 24 
i 688	 15 	 240 
i 407	 853 	 75 
i 707	 291 	 13 
i 678	 879 	 755 
i 998	 900 	 233 
i 780	 654 	 577 
i 284	 539 	 808 
i 171	 223 	 311 
i 979	 143 	 481 
i 4	 25 	 574 
i 243	 712 	 352 
i 317	 120 	 366 
i 330	 826 	 220 
i 85	 504 	 511 
i 317	 502 	 390 
i 894	 283 	 291 
i 703	 566 	 944 
i 15	 737 	 484 
i 495	 716 	 706 
i 70	 720 	 849 
i 422	 963 	 873 
i 788	 280 	 585 
i 9	 609 	 704 
i 519	 694 	 530 
i 909	 12 	 35 
i 200	 905 	 537 
i 145	 608 	 820 
i 628	 622 	 387 
i 335	 118 	 124 
i 184	 188 	 840 
i 57	 610 	 560 
i 642	 398 	 523 
i 347	 406 	 803 
i 877	 924 	 413 
i 911	 833 	 107 
i 449	 34 	 118 
i 269	 179 	 24 
i 655	 807 	 632 
i 778	 142 	 254 
i 618	 326 	 372 
i 178	 383 	 559 
i 701	 26 	 169 
i 504	 372 	 567 
i 916	 249 	 973 
i 24	 161 	 897 
i 141	 609 	 731 
i 165	 877 	 765 
i 796	 532 	 943 
i 51	 311 	 751 
i 422	 928 	 892 
i 981	 107 	 219 
i 151	 807 	 601 
i 718	 312 	 627 
i 691	 228 	 998 
i 589	 251 	 247 
i 321	 392 	 407 
i 86	 556 	 16 
i 30	 353 	 893 
i 780	 403 	 425 
i 673	 825 	 736 
i 892	 806 	 664 
i 494	 957 	 770 
i 121	 675 	 578 
i 119	 366 	 889 
i 366	 954 	 118 
i 772	 275 	 369 
i 788	 361 	 760 
i 681	 391 	 317 
i 107	 171 	 670 
i 842	 844 	 73 
i 507	 736 	 897 
i 278	 230 	 704 
i 855	 351 	 661 
i 745	 469 	 336 
i 863	 834 	 702 
i 232	 607 	 657 
c
c
W 25394
c end of file
