c Instance Type h
c
n 200
c w	 v1	 v2
i 967	 427 	 219 
i 438	 517 	 904 
i 290	 268 	 354 
i 444	 30 	 225 
i 791	 567 	 178 
i 260	 1 	 562 
i 985	 899 	 918 
i 514	 452 	 575 
i 796	 927 	 396 
i 141	 92 	 286 
i 359	 60 	 738 
i 264	 497 	 165 
i 617	 787 	 681 
i 842	 231 	 949 
i 21	 23 	 979 
i 582	 283 	 546 
i 500	 268 	 546 
i 76	 782 	 446 
i 471	 578 	 897 
i 757	 718 	 825 
i 495	 77 	 917 
i 660	 340 	 976 
i 341	 957 	 474 
i 291	 800 	 261 
i 270	 820 	 492 
i 815	 402 	 515 
i 362	 902 	 797 
i 807	 977 	 65 
i 705	 448 	 846 
i 530	 205 	 424 
i 447	 699 	 143 
i 424	 359 	 220 
i 897	 700 	 560 
i 159	 991 	 517 
i 650	 261 	 317 
i 165	 76 	 138 
i 962	 438 	 539 
i 27	 245 	 441 
i 873	 949 	 419 
i 298	 480 	 866 
i 440	 927 	 71 
i 659	 352 	 770 
i 220	 249 	 130 
i 736	 408 	 830 
i 54	 58 	 821 
i 191	 223 	 83 
i 730	 185 	 159 
i 172	 212 	 596 
i 590	 85 	 840 
i 457	 383 	 790 
i 528	 823 	 270 
i 299	 482 	 198 
i 428	 701 	 549 
i 259	 438 	 798 
i 81	 492 	 206 
i 163	 683 	 263 
i 321	 414 	 486 
i 916	 585 	 671 
i 757	 176 	 883 
i 547	 632 	 967 
i 817	 161 	 351 
i 15	 459 	 174 
i 564	 887 	 656 
i 362	 146 	 358 
i 567	 227 	 795 
i 830	 389 	 288 
i 316	 709 	 970 
i 987	 626 	 384 
i 870	 383 	 969 
i 838	 929 	 146 
i 189	 746 	 778 
i 363	 761 	 938 
i 19	 325 	 397 
i 376	 686 	 285 
i 172	 254 	 431 
i 459	 84 	 657 
i 430	 400 	 46 
i 813	 387 	 755 
i 783	 258 	 381 
i 928	 96 	 764 
i 706	 285 	 693 
i 645	 647 	 440 
i 43	 665 	 202 
i 327	 42 	 527 
i 757	 213 	 213 
i 414	 672 	 467 
i 460	 102 	 550 
i 216	 915 	 950 
i 596	 699 	 338 
i 361	 628 	 595 
i 55	 334 	 691 
i 494	 979 	 975 
i 696	 22 	 623 
i 223	 348 	 289 
i 436	 106 	 330 
i 902	 520 	 543 
i 453	 979 	 215 
i 403	 196 	 317 
i 741	 791 	 233 
i 336	 153 	 931 
i 28	 207 	 559 
i 4	 701 	 893 
i 626	 397 	 872 
i 914	 619 	 894 
i 244	 56 	 243 
i 786	 957 	 348 
i 2	 411 	 867 
i 318	 814 	 847 
i 550	 555 	 43 
i 482	 891 	 834 
i 41	 918 	 986 
i 934	 921 	 193 
i 806	 547 	 893 
i 700	 462 	 291 
i 943	 705 	 910 
i 291	 492 	 965 
i 159	 493 	 923 
i 7	 811 	 334 
i 49	 362 	 148 
i 883	 843 	 703 
i 870	 884 	 594 
i 64	 818 	 512 
i 957	 625 	 434 
i 248	 326 	 980 
i 158	 269 	 442 
i 124	 559 	 148 
i 47	 718 	 640 
i 380	 724 	 134 
i 528	 773 	 944 
i 231	 657 	 307 
i 825	 527 	 151 
i 337	 591 	 35 
i 770	 548 	 853 
i 751	 796 	 478 
i 194	 953 	 803 
i 341	 77 	 73 
i 980	 124 	 632 
i 114	 503 	 350 
i 59	 32 	 75 
i 365	 263 	 847 
i 516	 88 	 504 
i 550	 425 	 32 
i 403	 195 	 622 
i 881	 946 	 170 
i 685	 140 	 966 
i 757	 480 	 919 
i 389	 461 	 996 
i 738	 575 	 120 
i 812	 634 	 623 
i 660	 999 	 655 
i 165	 515 	 917 
i 196	 66 	 5 
i 818	 468 	 429 
i 988	 350 	 624 
i 954	 35 	 570 
i 874	 791 	 709 
i 870	 181 	 190 
i 990	 919 	 651 
i 614	 731 	 227 
i 269	 392 	 860 
i 187	 556 	 859 
i 192	 752 	 375 
i 620	 571 	 440 
i 245	 559 	 908 
i 815	 514 	 258 
i 524	 388 	 292 
i 714	 259 	 84 
i 366	 249 	 264 
i 592	 863 	 183 
i 452	 132 	 914 
i 312	 318 	 307 
i 686	 509 	 863 
i 126	 130 	 615 
i 35	 375 	 187 
i 292	 190 	 745 
i 584	 714 	 259 
i 667	 429 	 647 
i 931	 794 	 905 
i 115	 386 	 155 
i 29	 838 	 18 
i 336	 151 	 149 
i 199	 837 	 467 
i 814	 962 	 976 
i 1	 997 	 107 
i 745	 289 	 481 
i 5	 872 	 670 
i 651	 540 	 385 
i 556	 471 	 813 
i 710	 586 	 607 
i 728	 615 	 993 
i 877	 950 	 832 
i 344	 149 	 982 
i 321	 962 	 819 
i 427	 962 	 782 
i 908	 708 	 779 
i 579	 713 	 69 
i 963	 364 	 941 
i 777	 920 	 481 
i 385	 631 	 952 
i 378	 359 	 538 
c
c
W 49115
c end of file
