c Instance Type h
c
n 200
c w	 v1	 v2
i 510	 812 	 18 
i 719	 362 	 322 
i 275	 377 	 541 
i 873	 510 	 990 
i 872	 776 	 131 
i 465	 575 	 349 
i 988	 495 	 800 
i 220	 536 	 613 
i 288	 593 	 109 
i 37	 997 	 749 
i 55	 508 	 264 
i 376	 227 	 76 
i 917	 502 	 438 
i 908	 375 	 814 
i 39	 248 	 324 
i 387	 713 	 101 
i 188	 701 	 676 
i 801	 920 	 171 
i 910	 208 	 707 
i 659	 245 	 300 
i 922	 299 	 298 
i 998	 675 	 805 
i 436	 593 	 33 
i 251	 501 	 534 
i 575	 540 	 909 
i 675	 927 	 157 
i 352	 115 	 869 
i 522	 916 	 570 
i 230	 826 	 491 
i 530	 486 	 699 
i 827	 409 	 943 
i 633	 407 	 243 
i 665	 843 	 918 
i 199	 94 	 511 
i 109	 668 	 13 
i 265	 344 	 552 
i 135	 695 	 479 
i 705	 218 	 594 
i 196	 447 	 511 
i 894	 977 	 337 
i 838	 804 	 823 
i 82	 438 	 232 
i 999	 103 	 638 
i 511	 302 	 482 
i 523	 410 	 576 
i 76	 675 	 245 
i 555	 810 	 588 
i 149	 515 	 284 
i 660	 711 	 502 
i 996	 606 	 949 
i 819	 444 	 926 
i 52	 525 	 730 
i 690	 525 	 169 
i 172	 36 	 271 
i 747	 558 	 573 
i 991	 634 	 983 
i 580	 189 	 658 
i 864	 338 	 468 
i 366	 997 	 983 
i 315	 994 	 694 
i 241	 814 	 300 
i 971	 865 	 744 
i 140	 555 	 270 
i 411	 727 	 794 
i 983	 474 	 829 
i 966	 466 	 388 
i 625	 47 	 23 
i 94	 910 	 211 
i 77	 277 	 548 
i 771	 591 	 545 
i 72	 832 	 540 
i 815	 803 	 354 
i 85	 943 	 219 
i 879	 354 	 773 
i 709	 338 	 501 
i 98	 305 	 974 
i 120	 929 	 441 
i 330	 23 	 488 
i 878	 100 	 398 
i 423	 870 	 674 
i 962	 941 	 266 
i 317	 757 	 98 
i 535	 842 	 901 
i 309	 721 	 844 
i 809	 431 	 199 
i 784	 528 	 536 
i 226	 647 	 840 
i 713	 977 	 770 
i 112	 855 	 793 
i 786	 279 	 892 
i 52	 242 	 763 
i 150	 558 	 705 
i 51	 93 	 463 
i 895	 402 	 305 
i 94	 212 	 27 
i 629	 995 	 458 
i 470	 222 	 985 
i 240	 934 	 633 
i 34	 46 	 610 
i 926	 831 	 465 
i 690	 882 	 744 
i 395	 33 	 985 
i 858	 83 	 543 
i 164	 978 	 636 
i 190	 72 	 39 
i 647	 701 	 250 
i 633	 172 	 246 
i 266	 412 	 467 
i 876	 445 	 401 
i 342	 371 	 446 
i 86	 61 	 278 
i 71	 456 	 160 
i 613	 314 	 193 
i 250	 477 	 276 
i 288	 667 	 254 
i 538	 315 	 325 
i 783	 947 	 27 
i 250	 214 	 198 
i 650	 90 	 609 
i 97	 431 	 54 
i 374	 516 	 425 
i 534	 587 	 486 
i 726	 201 	 941 
i 2	 450 	 255 
i 256	 738 	 732 
i 581	 276 	 399 
i 607	 59 	 713 
i 805	 309 	 661 
i 414	 959 	 874 
i 468	 57 	 964 
i 893	 430 	 396 
i 379	 964 	 912 
i 320	 691 	 499 
i 575	 693 	 700 
i 307	 948 	 150 
i 705	 529 	 888 
i 419	 137 	 165 
i 81	 941 	 224 
i 954	 356 	 532 
i 919	 823 	 491 
i 315	 717 	 548 
i 228	 96 	 978 
i 726	 415 	 942 
i 426	 990 	 634 
i 576	 297 	 328 
i 465	 3 	 276 
i 629	 422 	 805 
i 852	 502 	 941 
i 384	 457 	 883 
i 875	 376 	 239 
i 423	 691 	 62 
i 401	 918 	 779 
i 344	 645 	 874 
i 978	 71 	 290 
i 306	 647 	 280 
i 581	 112 	 577 
i 387	 741 	 579 
i 329	 593 	 2 
i 212	 977 	 503 
i 450	 852 	 959 
i 512	 276 	 336 
i 291	 677 	 27 
i 165	 22 	 944 
i 454	 999 	 589 
i 734	 305 	 660 
i 311	 886 	 308 
i 890	 273 	 419 
i 891	 601 	 160 
i 395	 812 	 753 
i 355	 263 	 730 
i 690	 774 	 583 
i 716	 65 	 859 
i 661	 229 	 536 
i 251	 683 	 557 
i 910	 418 	 557 
i 218	 729 	 862 
i 637	 619 	 748 
i 797	 511 	 22 
i 550	 906 	 623 
i 280	 261 	 436 
i 863	 950 	 698 
i 722	 667 	 472 
i 258	 328 	 536 
i 815	 578 	 765 
i 373	 489 	 449 
i 235	 707 	 866 
i 982	 345 	 596 
i 4	 142 	 215 
i 627	 691 	 726 
i 63	 971 	 632 
i 760	 834 	 892 
i 233	 556 	 843 
i 768	 814 	 510 
i 534	 630 	 838 
i 983	 3 	 417 
i 850	 237 	 906 
i 446	 219 	 613 
i 661	 223 	 957 
i 387	 849 	 100 
i 19	 912 	 790 
c
c
W 50279
c end of file
