c Instance Type h
c
n 200
c w	 v1	 v2
i 120	 836 	 188 
i 17	 521 	 836 
i 770	 968 	 238 
i 756	 882 	 916 
i 216	 589 	 383 
i 774	 420 	 766 
i 346	 457 	 442 
i 773	 249 	 964 
i 641	 531 	 538 
i 534	 246 	 363 
i 722	 365 	 983 
i 559	 382 	 820 
i 796	 152 	 341 
i 713	 908 	 309 
i 96	 124 	 191 
i 861	 898 	 780 
i 304	 244 	 201 
i 268	 17 	 658 
i 806	 658 	 906 
i 170	 193 	 437 
i 153	 914 	 682 
i 973	 473 	 48 
i 314	 270 	 429 
i 622	 982 	 581 
i 812	 79 	 489 
i 593	 939 	 613 
i 794	 244 	 511 
i 452	 512 	 755 
i 358	 319 	 772 
i 795	 489 	 430 
i 478	 641 	 622 
i 525	 614 	 536 
i 954	 928 	 10 
i 535	 550 	 280 
i 25	 363 	 262 
i 637	 956 	 340 
i 149	 750 	 280 
i 904	 202 	 524 
i 676	 560 	 36 
i 106	 355 	 355 
i 728	 832 	 843 
i 265	 358 	 485 
i 274	 312 	 100 
i 553	 847 	 28 
i 815	 872 	 577 
i 156	 510 	 940 
i 435	 659 	 896 
i 958	 563 	 646 
i 994	 240 	 848 
i 349	 345 	 408 
i 193	 73 	 763 
i 677	 337 	 596 
i 776	 611 	 953 
i 804	 165 	 266 
i 382	 979 	 114 
i 322	 135 	 985 
i 218	 570 	 496 
i 864	 529 	 155 
i 712	 523 	 717 
i 121	 872 	 956 
i 883	 66 	 302 
i 479	 742 	 375 
i 433	 519 	 712 
i 699	 324 	 323 
i 812	 705 	 488 
i 798	 27 	 468 
i 294	 245 	 603 
i 448	 109 	 173 
i 166	 821 	 702 
i 123	 941 	 226 
i 424	 824 	 99 
i 798	 304 	 164 
i 511	 736 	 906 
i 834	 435 	 426 
i 322	 247 	 749 
i 789	 46 	 454 
i 393	 339 	 481 
i 565	 787 	 725 
i 267	 952 	 834 
i 492	 75 	 656 
i 590	 499 	 597 
i 754	 298 	 422 
i 660	 808 	 725 
i 86	 642 	 461 
i 835	 963 	 896 
i 289	 753 	 143 
i 770	 146 	 189 
i 496	 711 	 528 
i 331	 978 	 315 
i 986	 471 	 267 
i 584	 62 	 342 
i 6	 815 	 840 
i 731	 475 	 138 
i 192	 561 	 945 
i 88	 396 	 588 
i 231	 685 	 551 
i 420	 455 	 305 
i 947	 950 	 450 
i 262	 281 	 161 
i 529	 268 	 140 
i 871	 851 	 610 
i 711	 856 	 671 
i 849	 588 	 486 
i 795	 779 	 961 
i 383	 867 	 522 
i 934	 99 	 918 
i 239	 518 	 604 
i 689	 466 	 59 
i 849	 727 	 10 
i 988	 257 	 291 
i 599	 128 	 558 
i 270	 839 	 409 
i 755	 688 	 266 
i 716	 483 	 853 
i 239	 866 	 633 
i 158	 800 	 501 
i 761	 40 	 600 
i 820	 728 	 119 
i 829	 578 	 584 
i 121	 567 	 312 
i 678	 166 	 568 
i 88	 435 	 695 
i 354	 190 	 535 
i 208	 906 	 223 
i 840	 146 	 706 
i 342	 304 	 572 
i 941	 66 	 373 
i 61	 885 	 412 
i 644	 715 	 141 
i 956	 835 	 718 
i 524	 513 	 285 
i 220	 601 	 450 
i 754	 954 	 884 
i 977	 162 	 75 
i 684	 3 	 981 
i 257	 345 	 128 
i 629	 287 	 432 
i 42	 347 	 497 
i 182	 991 	 382 
i 899	 947 	 97 
i 185	 472 	 932 
i 634	 692 	 445 
i 519	 447 	 47 
i 594	 425 	 1 
i 576	 109 	 163 
i 704	 365 	 165 
i 136	 993 	 510 
i 632	 36 	 796 
i 14	 218 	 143 
i 111	 118 	 134 
i 43	 302 	 82 
i 488	 936 	 553 
i 534	 456 	 246 
i 535	 50 	 692 
i 697	 626 	 117 
i 862	 330 	 225 
i 372	 465 	 590 
i 168	 98 	 584 
i 311	 112 	 619 
i 444	 222 	 836 
i 526	 265 	 954 
i 80	 752 	 256 
i 325	 287 	 193 
i 18	 821 	 648 
i 135	 519 	 698 
i 360	 381 	 324 
i 949	 753 	 654 
i 533	 921 	 120 
i 152	 232 	 217 
i 988	 676 	 328 
i 942	 202 	 550 
i 199	 281 	 814 
i 391	 606 	 567 
i 40	 623 	 853 
i 737	 757 	 674 
i 62	 118 	 194 
i 716	 67 	 575 
i 835	 599 	 328 
i 53	 751 	 250 
i 380	 740 	 482 
i 929	 682 	 158 
i 744	 881 	 360 
i 311	 272 	 641 
i 164	 311 	 248 
i 838	 49 	 870 
i 32	 110 	 628 
i 606	 825 	 746 
i 934	 661 	 812 
i 185	 713 	 411 
i 666	 93 	 163 
i 824	 23 	 902 
i 184	 766 	 585 
i 825	 77 	 466 
i 73	 241 	 737 
i 943	 79 	 49 
i 572	 111 	 97 
i 318	 716 	 207 
i 130	 651 	 33 
i 541	 835 	 693 
i 703	 502 	 407 
c
c
W 51184
c end of file
