c Instance Type h
c
n 400
c w	 v1	 v2
i 120	 836 	 188 
i 17	 521 	 836 
i 770	 968 	 238 
i 756	 882 	 916 
i 216	 589 	 383 
i 774	 420 	 766 
i 346	 457 	 442 
i 773	 249 	 964 
i 641	 531 	 538 
i 534	 246 	 363 
i 722	 365 	 983 
i 559	 382 	 820 
i 796	 152 	 341 
i 713	 908 	 309 
i 96	 124 	 191 
i 861	 898 	 780 
i 304	 244 	 201 
i 268	 17 	 658 
i 806	 658 	 906 
i 170	 193 	 437 
i 153	 914 	 682 
i 973	 473 	 48 
i 314	 270 	 429 
i 622	 982 	 581 
i 812	 79 	 489 
i 593	 939 	 613 
i 794	 244 	 511 
i 452	 512 	 755 
i 358	 319 	 772 
i 795	 489 	 430 
i 478	 641 	 622 
i 525	 614 	 536 
i 954	 928 	 10 
i 535	 550 	 280 
i 25	 363 	 262 
i 637	 956 	 340 
i 149	 750 	 280 
i 904	 202 	 524 
i 676	 560 	 36 
i 106	 355 	 355 
i 728	 832 	 843 
i 265	 358 	 485 
i 274	 312 	 100 
i 553	 847 	 28 
i 815	 872 	 577 
i 156	 510 	 940 
i 435	 659 	 896 
i 958	 563 	 646 
i 994	 240 	 848 
i 349	 345 	 408 
i 193	 73 	 763 
i 677	 337 	 596 
i 776	 611 	 953 
i 804	 165 	 266 
i 382	 979 	 114 
i 322	 135 	 985 
i 218	 570 	 496 
i 864	 529 	 155 
i 712	 523 	 717 
i 121	 872 	 956 
i 883	 66 	 302 
i 479	 742 	 375 
i 433	 519 	 712 
i 699	 324 	 323 
i 812	 705 	 488 
i 798	 27 	 468 
i 294	 245 	 603 
i 448	 109 	 173 
i 166	 821 	 702 
i 123	 941 	 226 
i 424	 824 	 99 
i 798	 304 	 164 
i 511	 736 	 906 
i 834	 435 	 426 
i 322	 247 	 749 
i 789	 46 	 454 
i 393	 339 	 481 
i 565	 787 	 725 
i 267	 952 	 834 
i 492	 75 	 656 
i 590	 499 	 597 
i 754	 298 	 422 
i 660	 808 	 725 
i 86	 642 	 461 
i 835	 963 	 896 
i 289	 753 	 143 
i 770	 146 	 189 
i 496	 711 	 528 
i 331	 978 	 315 
i 986	 471 	 267 
i 584	 62 	 342 
i 6	 815 	 840 
i 731	 475 	 138 
i 192	 561 	 945 
i 88	 396 	 588 
i 231	 685 	 551 
i 420	 455 	 305 
i 947	 950 	 450 
i 262	 281 	 161 
i 529	 268 	 140 
i 871	 851 	 610 
i 711	 856 	 671 
i 849	 588 	 486 
i 795	 779 	 961 
i 383	 867 	 522 
i 934	 99 	 918 
i 239	 518 	 604 
i 689	 466 	 59 
i 849	 727 	 10 
i 988	 257 	 291 
i 599	 128 	 558 
i 270	 839 	 409 
i 755	 688 	 266 
i 716	 483 	 853 
i 239	 866 	 633 
i 158	 800 	 501 
i 761	 40 	 600 
i 820	 728 	 119 
i 829	 578 	 584 
i 121	 567 	 312 
i 678	 166 	 568 
i 88	 435 	 695 
i 354	 190 	 535 
i 208	 906 	 223 
i 840	 146 	 706 
i 342	 304 	 572 
i 941	 66 	 373 
i 61	 885 	 412 
i 644	 715 	 141 
i 956	 835 	 718 
i 524	 513 	 285 
i 220	 601 	 450 
i 754	 954 	 884 
i 977	 162 	 75 
i 684	 3 	 981 
i 257	 345 	 128 
i 629	 287 	 432 
i 42	 347 	 497 
i 182	 991 	 382 
i 899	 947 	 97 
i 185	 472 	 932 
i 634	 692 	 445 
i 519	 447 	 47 
i 594	 425 	 1 
i 576	 109 	 163 
i 704	 365 	 165 
i 136	 993 	 510 
i 632	 36 	 796 
i 14	 218 	 143 
i 111	 118 	 134 
i 43	 302 	 82 
i 488	 936 	 553 
i 534	 456 	 246 
i 535	 50 	 692 
i 697	 626 	 117 
i 862	 330 	 225 
i 372	 465 	 590 
i 168	 98 	 584 
i 311	 112 	 619 
i 444	 222 	 836 
i 526	 265 	 954 
i 80	 752 	 256 
i 325	 287 	 193 
i 18	 821 	 648 
i 135	 519 	 698 
i 360	 381 	 324 
i 949	 753 	 654 
i 533	 921 	 120 
i 152	 232 	 217 
i 988	 676 	 328 
i 942	 202 	 550 
i 199	 281 	 814 
i 391	 606 	 567 
i 40	 623 	 853 
i 737	 757 	 674 
i 62	 118 	 194 
i 716	 67 	 575 
i 835	 599 	 328 
i 53	 751 	 250 
i 380	 740 	 482 
i 929	 682 	 158 
i 744	 881 	 360 
i 311	 272 	 641 
i 164	 311 	 248 
i 838	 49 	 870 
i 32	 110 	 628 
i 606	 825 	 746 
i 934	 661 	 812 
i 185	 713 	 411 
i 666	 93 	 163 
i 824	 23 	 902 
i 184	 766 	 585 
i 825	 77 	 466 
i 73	 241 	 737 
i 943	 79 	 49 
i 572	 111 	 97 
i 318	 716 	 207 
i 130	 651 	 33 
i 541	 835 	 693 
i 703	 502 	 407 
i 606	 326 	 500 
i 191	 509 	 522 
i 656	 335 	 289 
i 394	 407 	 366 
i 442	 350 	 606 
i 539	 921 	 684 
i 746	 239 	 794 
i 778	 369 	 511 
i 472	 909 	 163 
i 878	 613 	 998 
i 378	 219 	 500 
i 900	 410 	 825 
i 189	 67 	 334 
i 554	 460 	 668 
i 160	 902 	 76 
i 844	 442 	 425 
i 639	 188 	 347 
i 150	 965 	 586 
i 313	 438 	 954 
i 311	 316 	 864 
i 810	 693 	 477 
i 635	 593 	 696 
i 969	 782 	 107 
i 638	 336 	 173 
i 713	 496 	 632 
i 139	 340 	 535 
i 486	 978 	 976 
i 72	 129 	 165 
i 27	 441 	 130 
i 890	 751 	 568 
i 368	 562 	 883 
i 65	 197 	 577 
i 171	 167 	 171 
i 343	 804 	 952 
i 975	 518 	 288 
i 510	 657 	 784 
i 487	 143 	 124 
i 651	 215 	 103 
i 781	 241 	 232 
i 349	 132 	 672 
i 233	 499 	 424 
i 809	 563 	 985 
i 979	 733 	 183 
i 932	 77 	 349 
i 221	 52 	 154 
i 5	 562 	 672 
i 129	 50 	 329 
i 231	 701 	 472 
i 463	 482 	 686 
i 135	 831 	 927 
i 559	 65 	 59 
i 545	 874 	 557 
i 727	 854 	 121 
i 77	 786 	 853 
i 230	 7 	 930 
i 901	 12 	 981 
i 230	 140 	 544 
i 702	 371 	 594 
i 388	 833 	 295 
i 316	 968 	 777 
i 374	 528 	 609 
i 931	 73 	 673 
i 52	 799 	 547 
i 905	 876 	 401 
i 835	 106 	 187 
i 817	 8 	 194 
i 362	 238 	 205 
i 955	 939 	 345 
i 250	 328 	 716 
i 27	 643 	 549 
i 635	 17 	 518 
i 309	 947 	 46 
i 855	 999 	 119 
i 257	 904 	 918 
i 444	 740 	 794 
i 637	 557 	 899 
i 842	 918 	 907 
i 188	 873 	 145 
i 903	 124 	 84 
i 453	 150 	 411 
i 970	 785 	 54 
i 17	 95 	 71 
i 135	 949 	 19 
i 53	 207 	 18 
i 846	 650 	 922 
i 746	 288 	 662 
i 653	 131 	 219 
i 797	 318 	 138 
i 881	 222 	 11 
i 292	 674 	 134 
i 346	 645 	 284 
i 416	 661 	 70 
i 435	 796 	 164 
i 452	 848 	 114 
i 374	 695 	 320 
i 37	 442 	 969 
i 255	 96 	 258 
i 392	 893 	 388 
i 403	 774 	 706 
i 537	 67 	 927 
i 821	 412 	 601 
i 890	 828 	 246 
i 54	 264 	 907 
i 168	 715 	 703 
i 487	 90 	 552 
i 457	 127 	 247 
i 714	 381 	 689 
i 103	 773 	 784 
i 808	 177 	 677 
i 736	 714 	 451 
i 337	 535 	 518 
i 583	 425 	 930 
i 491	 479 	 758 
i 194	 646 	 23 
i 746	 134 	 738 
i 993	 590 	 828 
i 682	 305 	 954 
i 466	 407 	 336 
i 143	 216 	 109 
i 594	 951 	 286 
i 113	 289 	 999 
i 43	 872 	 534 
i 801	 363 	 959 
i 823	 557 	 438 
i 561	 303 	 85 
i 389	 297 	 218 
i 343	 978 	 808 
i 678	 444 	 113 
i 787	 587 	 520 
i 73	 182 	 736 
i 73	 294 	 688 
i 607	 336 	 977 
i 566	 137 	 849 
i 5	 959 	 213 
i 89	 521 	 770 
i 307	 909 	 74 
i 116	 252 	 370 
i 229	 930 	 348 
i 749	 717 	 792 
i 485	 790 	 380 
i 174	 863 	 562 
i 151	 470 	 855 
i 1	 36 	 192 
i 214	 40 	 329 
i 983	 129 	 288 
i 58	 436 	 809 
i 428	 551 	 718 
i 775	 779 	 969 
i 568	 528 	 900 
i 947	 14 	 617 
i 509	 187 	 408 
i 365	 337 	 271 
i 556	 338 	 740 
i 885	 551 	 776 
i 174	 535 	 815 
i 982	 592 	 944 
i 700	 20 	 380 
i 670	 795 	 930 
i 570	 364 	 710 
i 188	 312 	 238 
i 596	 821 	 252 
i 866	 186 	 438 
i 607	 742 	 775 
i 383	 627 	 113 
i 199	 800 	 664 
i 143	 783 	 199 
i 523	 483 	 791 
i 454	 153 	 811 
i 164	 723 	 606 
i 402	 910 	 969 
i 653	 506 	 282 
i 92	 373 	 103 
i 866	 979 	 289 
i 979	 363 	 31 
i 643	 561 	 658 
i 842	 704 	 459 
i 633	 227 	 242 
i 444	 680 	 725 
i 51	 844 	 878 
i 21	 247 	 601 
i 302	 899 	 512 
i 404	 991 	 19 
i 692	 858 	 391 
i 723	 837 	 371 
i 382	 481 	 734 
i 841	 323 	 295 
i 84	 956 	 999 
i 808	 401 	 226 
i 686	 451 	 906 
i 287	 471 	 750 
i 799	 773 	 997 
i 817	 178 	 897 
i 209	 870 	 888 
i 580	 594 	 746 
i 314	 975 	 584 
i 609	 817 	 65 
i 608	 900 	 388 
i 833	 708 	 345 
i 740	 395 	 745 
i 491	 681 	 196 
c
c
W 100220
c end of file
