c Instance Type h
c
n 400
c w	 v1	 v2
i 812	 514 	 245 
i 354	 11 	 468 
i 802	 564 	 964 
i 623	 173 	 28 
i 358	 39 	 465 
i 234	 573 	 849 
i 611	 333 	 884 
i 239	 645 	 176 
i 431	 810 	 741 
i 722	 920 	 196 
i 967	 732 	 477 
i 436	 86 	 991 
i 401	 888 	 2 
i 428	 512 	 565 
i 893	 870 	 738 
i 743	 104 	 776 
i 628	 714 	 350 
i 804	 953 	 683 
i 545	 385 	 328 
i 740	 108 	 139 
i 218	 76 	 59 
i 209	 511 	 791 
i 211	 911 	 877 
i 776	 340 	 766 
i 514	 234 	 278 
i 291	 977 	 149 
i 640	 605 	 253 
i 323	 409 	 967 
i 651	 953 	 920 
i 789	 694 	 306 
i 847	 911 	 414 
i 638	 121 	 489 
i 516	 331 	 1 
i 282	 108 	 911 
i 560	 622 	 252 
i 708	 912 	 486 
i 960	 552 	 463 
i 927	 875 	 68 
i 848	 526 	 477 
i 155	 315 	 431 
i 568	 163 	 125 
i 57	 801 	 37 
i 57	 317 	 157 
i 968	 598 	 488 
i 221	 158 	 595 
i 706	 866 	 217 
i 170	 826 	 130 
i 238	 754 	 681 
i 714	 603 	 557 
i 145	 757 	 83 
i 270	 325 	 398 
i 306	 382 	 561 
i 462	 438 	 362 
i 950	 407 	 679 
i 546	 627 	 277 
i 762	 334 	 435 
i 891	 503 	 301 
i 573	 740 	 128 
i 130	 455 	 881 
i 213	 600 	 485 
i 611	 870 	 242 
i 172	 176 	 566 
i 534	 638 	 947 
i 213	 588 	 386 
i 490	 134 	 792 
i 924	 896 	 420 
i 226	 788 	 753 
i 354	 361 	 257 
i 235	 491 	 997 
i 720	 704 	 453 
i 961	 315 	 53 
i 528	 487 	 922 
i 476	 21 	 99 
i 861	 233 	 736 
i 654	 723 	 325 
i 75	 648 	 459 
i 827	 873 	 355 
i 85	 228 	 144 
i 82	 463 	 505 
i 534	 183 	 996 
i 587	 144 	 700 
i 510	 671 	 16 
i 608	 148 	 503 
i 345	 10 	 523 
i 670	 663 	 756 
i 129	 737 	 479 
i 484	 565 	 128 
i 627	 649 	 2 
i 132	 731 	 229 
i 128	 265 	 691 
i 828	 851 	 873 
i 843	 361 	 17 
i 347	 969 	 688 
i 869	 314 	 835 
i 626	 984 	 845 
i 106	 113 	 509 
i 233	 596 	 247 
i 234	 224 	 811 
i 463	 355 	 461 
i 154	 483 	 192 
i 27	 311 	 456 
i 44	 155 	 308 
i 732	 501 	 669 
i 568	 371 	 638 
i 413	 996 	 952 
i 921	 102 	 936 
i 168	 335 	 50 
i 979	 569 	 645 
i 440	 32 	 868 
i 631	 186 	 224 
i 88	 212 	 706 
i 396	 256 	 18 
i 65	 988 	 172 
i 702	 556 	 672 
i 655	 968 	 43 
i 591	 890 	 40 
i 641	 58 	 142 
i 287	 38 	 477 
i 156	 477 	 46 
i 379	 109 	 78 
i 86	 197 	 263 
i 103	 592 	 475 
i 274	 656 	 730 
i 946	 359 	 718 
i 989	 14 	 275 
i 30	 605 	 244 
i 171	 246 	 134 
i 647	 532 	 192 
i 693	 687 	 229 
i 770	 67 	 706 
i 33	 152 	 815 
i 508	 255 	 12 
i 238	 529 	 603 
i 956	 475 	 260 
i 232	 465 	 618 
i 475	 494 	 632 
i 609	 665 	 238 
i 800	 312 	 484 
i 30	 6 	 17 
i 735	 775 	 703 
i 550	 808 	 770 
