c Instance Type h
c
n 400
c w	 v1	 v2
i 735	 755 	 654 
i 802	 335 	 643 
i 844	 365 	 101 
i 778	 234 	 10 
i 712	 644 	 577 
i 342	 953 	 796 
i 627	 178 	 146 
i 355	 518 	 631 
i 978	 29 	 853 
i 965	 165 	 817 
i 620	 900 	 486 
i 263	 703 	 241 
i 363	 548 	 576 
i 373	 326 	 940 
i 949	 38 	 175 
i 746	 380 	 818 
i 891	 7 	 772 
i 523	 362 	 949 
i 376	 340 	 467 
i 193	 306 	 496 
i 678	 925 	 660 
i 919	 188 	 561 
i 495	 551 	 264 
i 435	 923 	 811 
i 609	 873 	 138 
i 428	 619 	 176 
i 200	 511 	 556 
i 150	 35 	 562 
i 617	 410 	 924 
i 113	 603 	 264 
i 773	 281 	 569 
i 335	 201 	 494 
i 598	 695 	 681 
i 410	 131 	 232 
i 548	 740 	 156 
i 723	 169 	 30 
i 280	 368 	 649 
i 841	 518 	 160 
i 766	 136 	 194 
i 30	 249 	 604 
i 598	 22 	 207 
i 93	 357 	 488 
i 774	 954 	 688 
i 7	 365 	 384 
i 162	 913 	 514 
i 192	 637 	 254 
i 840	 916 	 423 
i 1	 758 	 791 
i 194	 524 	 309 
i 798	 553 	 445 
i 5	 152 	 693 
i 493	 244 	 715 
i 181	 18 	 72 
i 564	 25 	 27 
i 79	 187 	 391 
i 333	 378 	 304 
i 755	 218 	 940 
i 546	 218 	 856 
i 855	 412 	 615 
i 300	 210 	 139 
i 992	 215 	 691 
i 707	 707 	 842 
i 778	 888 	 87 
i 804	 453 	 105 
i 196	 531 	 129 
i 500	 864 	 315 
i 441	 619 	 693 
i 298	 166 	 910 
i 912	 21 	 129 
i 51	 320 	 540 
i 742	 312 	 750 
i 585	 20 	 965 
i 671	 798 	 673 
i 776	 603 	 561 
i 905	 799 	 15 
i 220	 299 	 546 
i 912	 740 	 410 
i 823	 38 	 30 
i 951	 950 	 195 
i 492	 2 	 216 
i 243	 743 	 535 
i 208	 328 	 847 
i 880	 999 	 867 
i 442	 776 	 665 
i 456	 681 	 269 
i 3	 901 	 68 
i 412	 814 	 367 
i 442	 637 	 107 
i 637	 589 	 145 
i 852	 81 	 96 
i 388	 324 	 97 
i 236	 531 	 839 
i 103	 412 	 168 
i 768	 853 	 167 
i 38	 310 	 942 
i 105	 312 	 624 
i 471	 724 	 525 
i 578	 167 	 339 
i 723	 803 	 976 
i 818	 656 	 565 
i 914	 45 	 646 
i 754	 280 	 969 
i 921	 383 	 501 
i 89	 152 	 912 
i 32	 189 	 765 
i 655	 293 	 75 
i 180	 764 	 387 
i 519	 343 	 111 
i 495	 66 	 277 
i 60	 883 	 81 
i 706	 798 	 736 
i 676	 552 	 780 
i 177	 473 	 60 
i 89	 562 	 443 
i 853	 593 	 594 
i 928	 248 	 783 
i 315	 428 	 77 
i 426	 946 	 840 
i 702	 441 	 184 
i 783	 501 	 249 
i 519	 208 	 133 
i 300	 883 	 930 
i 360	 60 	 483 
i 802	 148 	 955 
i 397	 2 	 517 
i 180	 930 	 111 
i 256	 245 	 358 
i 97	 671 	 785 
i 280	 374 	 732 
i 529	 157 	 174 
i 661	 675 	 674 
i 592	 974 	 882 
i 75	 334 	 765 
i 31	 137 	 825 
i 548	 533 	 972 
i 658	 713 	 974 
i 17	 968 	 904 
i 801	 65 	 150 
i 534	 344 	 820 
i 707	 872 	 194 
i 382	 534 	 350 
i 264	 126 	 26 
i 30	 201 	 1 
i 854	 231 	 335 
i 826	 778 	 472 
i 801	 437 	 5 
i 705	 453 	 717 
i 854	 255 	 686 
i 675	 788 	 750 
i 868	 496 	 95 
i 219	 877 	 967 
i 245	 142 	 502 
i 245	 171 	 628 
i 580	 25 	 828 
i 52	 851 	 60 
i 57	 653 	 837 
i 773	 358 	 275 
i 460	 213 	 727 
i 211	 887 	 982 
i 306	 756 	 771 
i 273	 974 	 267 
i 775	 219 	 145 
i 403	 464 	 286 
i 231	 44 	 457 
i 290	 96 	 481 
i 128	 152 	 333 
i 403	 925 	 985 
i 131	 385 	 344 
i 113	 595 	 556 
i 883	 900 	 444 
i 151	 174 	 200 
i 295	 948 	 174 
i 580	 352 	 393 
i 37	 583 	 856 
i 518	 873 	 900 
i 851	 2 	 996 
i 837	 404 	 148 
i 181	 534 	 74 
i 737	 647 	 458 
i 181	 530 	 54 
i 381	 680 	 954 
i 554	 974 	 128 
i 947	 555 	 77 
i 803	 592 	 429 
i 704	 111 	 12 
i 700	 961 	 884 
i 848	 799 	 886 
i 921	 979 	 290 
i 380	 717 	 824 
i 433	 898 	 471 
i 387	 279 	 2 
i 515	 833 	 681 
i 592	 780 	 656 
i 21	 584 	 212 
i 33	 288 	 803 
i 917	 988 	 914 
i 803	 837 	 876 
i 94	 758 	 675 
i 917	 138 	 655 
i 388	 571 	 372 
i 389	 958 	 270 
i 71	 473 	 549 
i 727	 66 	 382 
i 938	 87 	 162 
i 742	 119 	 745 
i 656	 36 	 34 
i 532	 839 	 23 
i 208	 932 	 859 
i 862	 850 	 618 
i 234	 239 	 755 
i 504	 628 	 327 
i 53	 698 	 285 
i 434	 426 	 758 
i 596	 364 	 823 
i 342	 107 	 909 
i 376	 763 	 28 
i 398	 296 	 64 
i 258	 503 	 903 
i 875	 365 	 836 
i 631	 599 	 686 
i 957	 104 	 924 
i 242	 156 	 552 
i 999	 590 	 251 
i 822	 187 	 676 
i 732	 528 	 41 
i 760	 903 	 148 
i 824	 302 	 910 
i 727	 559 	 207 
i 563	 434 	 710 
i 250	 65 	 76 
i 174	 23 	 674 
i 726	 264 	 777 
i 977	 264 	 933 
i 654	 87 	 524 
i 695	 818 	 711 
i 842	 578 	 239 
i 753	 402 	 143 
i 959	 130 	 444 
i 670	 692 	 4 
i 745	 941 	 437 
i 419	 116 	 502 
i 197	 842 	 524 
i 131	 819 	 788 
i 654	 474 	 52 
i 366	 169 	 138 
i 604	 12 	 955 
i 747	 764 	 534 
i 192	 724 	 936 
i 195	 394 	 66 
i 632	 139 	 758 
i 134	 558 	 700 
i 658	 754 	 816 
i 446	 884 	 659 
i 498	 539 	 479 
i 635	 904 	 952 
i 591	 509 	 121 
i 126	 257 	 132 
i 62	 448 	 896 
i 128	 642 	 620 
i 886	 275 	 15 
i 587	 409 	 153 
i 403	 67 	 710 
i 62	 513 	 465 
i 540	 11 	 350 
i 493	 646 	 889 
i 613	 237 	 794 
i 745	 363 	 304 
i 642	 424 	 560 
i 263	 552 	 8 
i 277	 438 	 650 
i 430	 25 	 925 
i 141	 428 	 334 
i 606	 489 	 401 
i 955	 30 	 913 
i 845	 522 	 924 
i 639	 136 	 571 
i 943	 881 	 807 
i 503	 523 	 170 
i 511	 786 	 594 
i 162	 63 	 147 
i 87	 493 	 584 
i 421	 633 	 609 
i 821	 239 	 37 
i 735	 195 	 526 
i 660	 40 	 556 
i 231	 679 	 78 
i 39	 622 	 214 
i 208	 126 	 96 
i 802	 636 	 619 
i 948	 798 	 405 
i 533	 885 	 468 
i 143	 306 	 960 
i 179	 128 	 594 
i 705	 862 	 833 
i 261	 522 	 28 
i 339	 752 	 68 
i 553	 790 	 746 
i 648	 998 	 369 
i 267	 801 	 494 
i 672	 750 	 131 
i 140	 283 	 929 
i 100	 426 	 814 
i 694	 604 	 121 
i 527	 310 	 248 
i 554	 571 	 110 
i 622	 909 	 632 
i 368	 462 	 385 
i 737	 111 	 176 
i 232	 378 	 175 
i 362	 50 	 975 
i 291	 189 	 726 
i 106	 289 	 9 
i 226	 982 	 434 
i 473	 510 	 39 
i 583	 65 	 349 
i 215	 686 	 919 
i 600	 55 	 828 
i 775	 791 	 291 
i 949	 23 	 402 
i 925	 385 	 779 
