c Instance Type h
c
n 600
c w	 v1	 v2
i 463	 810 	 5 
i 910	 160 	 185 
i 350	 57 	 506 
i 62	 490 	 377 
i 919	 784 	 100 
i 487	 660 	 152 
i 373	 622 	 952 
i 500	 966 	 859 
i 230	 436 	 742 
i 15	 200 	 580 
i 20	 662 	 965 
i 204	 573 	 776 
i 710	 923 	 935 
i 87	 984 	 991 
i 186	 903 	 482 
i 338	 391 	 266 
i 290	 763 	 925 
i 150	 263 	 548 
i 892	 493 	 515 
i 472	 508 	 950 
i 438	 527 	 150 
i 214	 730 	 812 
i 150	 441 	 385 
i 142	 527 	 308 
i 623	 713 	 293 
i 888	 51 	 196 
i 814	 341 	 586 
i 362	 491 	 350 
i 876	 383 	 613 
i 826	 854 	 106 
i 976	 293 	 614 
i 789	 507 	 141 
i 174	 656 	 871 
i 482	 797 	 312 
i 774	 420 	 839 
i 970	 309 	 552 
i 556	 123 	 603 
i 905	 484 	 944 
i 519	 360 	 435 
i 624	 187 	 817 
i 238	 164 	 672 
i 379	 952 	 964 
i 251	 126 	 472 
i 562	 608 	 128 
i 402	 383 	 924 
i 953	 353 	 345 
i 557	 909 	 653 
i 501	 815 	 775 
i 935	 334 	 260 
i 753	 958 	 620 
i 425	 197 	 807 
i 390	 575 	 970 
i 861	 825 	 922 
i 988	 388 	 49 
i 913	 789 	 656 
i 259	 743 	 40 
i 911	 300 	 392 
i 687	 801 	 302 
i 947	 736 	 117 
i 567	 490 	 451 
i 374	 914 	 409 
i 345	 304 	 605 
i 267	 166 	 181 
i 315	 155 	 7 
i 971	 68 	 395 
i 11	 326 	 185 
i 403	 238 	 928 
i 704	 925 	 229 
i 821	 873 	 30 
i 273	 440 	 766 
i 681	 814 	 256 
i 287	 159 	 170 
i 468	 426 	 474 
i 474	 740 	 640 
i 869	 711 	 794 
i 54	 721 	 862 
i 981	 125 	 189 
i 210	 829 	 427 
i 240	 650 	 352 
i 6	 922 	 226 
i 262	 604 	 665 
i 431	 891 	 480 
i 905	 359 	 639 
i 546	 833 	 66 
i 340	 702 	 805 
i 202	 756 	 517 
i 391	 737 	 239 
i 817	 947 	 363 
i 170	 187 	 192 
i 395	 193 	 842 
i 61	 454 	 765 
i 541	 885 	 370 
i 181	 791 	 261 
i 246	 337 	 619 
i 51	 677 	 453 
i 568	 878 	 155 
i 806	 270 	 910 
i 169	 87 	 648 
i 361	 256 	 596 
i 204	 651 	 783 
i 968	 711 	 975 
i 338	 252 	 430 
i 599	 432 	 315 
i 219	 677 	 106 
i 671	 728 	 443 
i 826	 296 	 120 
i 737	 102 	 998 
i 385	 271 	 268 
i 981	 632 	 354 
i 764	 835 	 610 
i 740	 803 	 261 
i 170	 142 	 971 
i 485	 740 	 224 
i 591	 958 	 656 
i 34	 630 	 333 
i 153	 456 	 62 
i 151	 193 	 357 
i 419	 578 	 459 
i 773	 559 	 730 
i 383	 324 	 362 
i 644	 64 	 197 
i 616	 234 	 1 
i 839	 718 	 143 
i 495	 309 	 883 
i 828	 343 	 842 
i 889	 495 	 472 
i 247	 646 	 927 
i 706	 65 	 121 
i 436	 837 	 698 
i 798	 221 	 257 
i 995	 864 	 581 
i 996	 480 	 644 
i 139	 320 	 878 
i 23	 814 	 597 
i 864	 642 	 905 
i 337	 532 	 248 
i 265	 778 	 743 
i 385	 485 	 390 
i 83	 920 	 455 
i 340	 719 	 293 
i 920	 714 	 513 
i 565	 710 	 378 
i 443	 849 	 857 
i 40	 872 	 177 
i 945	 737 	 991 
i 194	 74 	 633 
i 937	 339 	 166 
i 327	 723 	 944 
i 781	 806 	 429 
i 75	 146 	 350 
i 587	 67 	 69 
i 964	 631 	 782 
i 822	 75 	 493 
i 999	 115 	 343 
i 990	 60 	 215 
i 624	 254 	 951 
i 789	 191 	 25 
i 733	 518 	 364 
i 162	 300 	 87 
i 511	 374 	 893 
i 579	 961 	 40 
i 362	 925 	 106 
i 855	 748 	 737 
i 198	 747 	 812 
i 412	 737 	 926 
i 363	 361 	 986 
i 388	 150 	 241 
i 751	 882 	 432 
i 838	 45 	 949 
i 731	 555 	 250 
i 771	 135 	 623 
i 877	 497 	 585 
i 614	 352 	 510 
i 427	 549 	 258 
i 354	 960 	 6 
i 340	 324 	 742 
i 581	 711 	 103 
i 13	 463 	 253 
i 962	 301 	 136 
i 212	 33 	 180 
i 835	 803 	 735 
i 420	 680 	 870 
i 930	 295 	 367 
i 189	 722 	 719 
i 194	 76 	 268 
i 935	 416 	 229 
i 39	 996 	 552 
i 292	 9 	 264 
i 427	 970 	 726 
i 607	 183 	 28 
i 343	 18 	 60 
i 213	 437 	 863 
i 580	 367 	 544 
i 300	 555 	 839 
i 567	 748 	 561 
i 796	 684 	 637 
i 348	 722 	 53 
i 611	 14 	 49 
i 338	 441 	 58 
i 365	 49 	 29 
i 424	 391 	 211 
i 288	 604 	 228 
i 831	 185 	 664 
i 671	 484 	 32 
i 232	 51 	 586 
i 868	 846 	 335 
i 921	 195 	 19 
i 969	 805 	 741 
i 28	 144 	 755 
i 56	 508 	 196 
i 266	 932 	 244 
i 494	 220 	 635 
i 158	 52 	 239 
i 190	 722 	 423 
i 775	 954 	 906 
i 111	 822 	 957 
i 129	 744 	 804 
i 870	 713 	 998 
i 625	 741 	 804 
i 821	 796 	 947 
i 66	 63 	 455 
i 700	 556 	 387 
i 939	 714 	 607 
i 362	 903 	 658 
i 269	 678 	 380 
i 226	 788 	 334 
i 30	 917 	 157 
i 29	 787 	 900 
i 832	 413 	 614 
i 779	 234 	 355 
i 235	 299 	 152 
i 621	 999 	 214 
