c Instance Type h
c
n 600
c w	 v1	 v2
i 654	 489 	 61 
i 245	 151 	 814 
i 879	 654 	 232 
i 425	 781 	 986 
i 57	 734 	 681 
i 441	 814 	 234 
i 132	 500 	 395 
i 458	 864 	 72 
i 11	 715 	 446 
i 692	 373 	 414 
i 752	 27 	 463 
i 566	 272 	 951 
i 798	 152 	 103 
i 784	 577 	 756 
i 466	 634 	 538 
i 699	 75 	 273 
i 94	 206 	 87 
i 166	 664 	 587 
i 611	 674 	 451 
i 26	 367 	 166 
i 488	 119 	 539 
i 440	 685 	 566 
i 543	 483 	 838 
i 299	 268 	 990 
i 837	 733 	 567 
i 110	 433 	 202 
i 197	 527 	 276 
i 783	 692 	 482 
i 235	 303 	 146 
i 401	 328 	 820 
i 940	 816 	 187 
i 506	 257 	 305 
i 345	 799 	 989 
i 336	 99 	 473 
i 903	 935 	 741 
i 105	 46 	 474 
i 380	 243 	 907 
i 862	 26 	 434 
i 8	 261 	 126 
i 827	 661 	 428 
i 15	 601 	 756 
i 319	 108 	 573 
i 309	 453 	 829 
i 782	 788 	 629 
i 523	 692 	 727 
i 997	 796 	 663 
i 904	 177 	 708 
i 338	 39 	 950 
i 463	 47 	 976 
i 891	 874 	 238 
i 648	 888 	 898 
i 222	 208 	 499 
i 52	 517 	 607 
i 680	 300 	 60 
i 408	 822 	 848 
i 71	 819 	 540 
i 779	 724 	 336 
i 730	 62 	 513 
i 706	 525 	 552 
i 944	 417 	 598 
i 842	 65 	 473 
i 342	 287 	 361 
i 948	 338 	 569 
i 8	 18 	 86 
i 855	 425 	 385 
i 396	 496 	 208 
i 732	 275 	 28 
i 245	 5 	 751 
i 796	 711 	 813 
i 395	 655 	 338 
i 867	 497 	 754 
i 229	 838 	 819 
i 797	 787 	 106 
i 883	 794 	 443 
i 269	 650 	 461 
i 476	 46 	 886 
i 504	 777 	 382 
i 255	 23 	 656 
i 69	 819 	 660 
i 406	 214 	 372 
i 161	 82 	 27 
i 980	 310 	 524 
i 87	 107 	 363 
i 530	 990 	 150 
i 990	 259 	 943 
i 876	 735 	 594 
i 259	 240 	 640 
i 914	 495 	 418 
i 575	 563 	 440 
i 946	 969 	 259 
i 972	 131 	 473 
i 497	 111 	 554 
i 859	 197 	 863 
i 9	 727 	 970 
i 952	 717 	 961 
i 546	 594 	 221 
i 187	 852 	 956 
i 604	 767 	 196 
i 45	 342 	 690 
i 303	 289 	 253 
i 776	 262 	 223 
i 330	 758 	 353 
i 194	 617 	 464 
i 165	 625 	 661 
i 126	 578 	 388 
i 347	 125 	 106 
i 303	 311 	 700 
i 498	 915 	 552 
i 189	 959 	 320 
i 442	 262 	 661 
i 664	 38 	 950 
i 17	 368 	 212 
i 481	 562 	 969 
i 142	 726 	 587 
i 529	 852 	 213 
i 634	 199 	 790 
i 334	 501 	 914 
i 886	 999 	 226 
i 206	 188 	 141 
i 867	 629 	 100 
i 818	 294 	 362 
i 30	 311 	 400 
i 998	 791 	 767 
i 586	 932 	 329 
i 798	 461 	 56 
i 588	 96 	 907 
i 503	 430 	 106 
i 728	 317 	 606 
i 869	 522 	 605 
i 968	 390 	 793 
i 331	 208 	 422 
i 730	 238 	 715 
i 498	 237 	 26 
i 826	 822 	 817 
i 882	 620 	 749 
i 789	 209 	 211 
i 894	 711 	 306 
i 501	 440 	 736 
i 107	 310 	 53 
i 899	 278 	 575 
i 322	 609 	 965 
i 38	 339 	 174 
i 64	 836 	 411 
i 880	 663 	 647 
i 629	 545 	 469 
i 840	 334 	 90 
i 147	 229 	 298 
i 882	 729 	 10 
i 934	 836 	 449 
i 509	 736 	 758 
i 474	 58 	 37 
i 647	 96 	 645 
i 58	 159 	 984 
i 705	 40 	 820 
i 175	 669 	 483 
i 264	 509 	 28 
i 561	 655 	 362 
i 570	 537 	 590 
i 20	 472 	 320 
i 778	 980 	 157 
i 814	 455 	 892 
i 460	 102 	 950 
i 444	 160 	 46 
i 265	 865 	 205 
i 747	 40 	 244 
i 775	 304 	 912 
i 137	 864 	 421 
i 727	 435 	 77 
i 47	 455 	 613 
i 203	 233 	 85 
i 96	 48 	 66 
i 46	 508 	 520 
i 92	 951 	 622 
i 296	 216 	 782 
i 540	 963 	 647 
i 452	 738 	 687 
i 873	 875 	 990 
i 949	 602 	 855 
i 563	 649 	 290 
i 648	 852 	 744 
i 713	 947 	 977 
i 234	 993 	 26 
i 855	 85 	 533 
i 638	 381 	 485 
i 285	 920 	 700 
i 972	 373 	 664 
i 962	 247 	 403 
i 817	 197 	 278 
i 108	 760 	 879 
i 852	 408 	 529 
i 829	 122 	 381 
i 854	 356 	 329 
i 387	 212 	 322 
i 872	 849 	 406 
i 572	 135 	 787 
i 237	 107 	 708 
i 639	 69 	 81 
i 916	 886 	 328 
i 796	 993 	 524 
i 325	 845 	 285 
i 706	 675 	 692 
i 35	 530 	 814 
i 356	 917 	 170 
i 762	 789 	 382 
i 550	 361 	 231 
i 258	 598 	 366 
i 339	 237 	 472 
i 666	 153 	 541 
i 191	 949 	 428 
i 475	 275 	 421 
i 168	 980 	 267 
i 981	 16 	 941 
i 152	 372 	 471 
i 533	 134 	 388 
i 764	 683 	 178 
i 130	 941 	 538 
i 602	 280 	 137 
i 144	 946 	 373 
i 571	 137 	 526 
i 992	 612 	 475 
i 259	 779 	 750 
i 201	 761 	 730 
i 672	 913 	 746 
i 61	 447 	 118 
i 238	 211 	 251 
i 776	 341 	 934 
i 912	 943 	 876 
i 286	 88 	 156 
i 811	 658 	 102 
i 286	 651 	 239 
i 36	 910 	 850 
i 766	 111 	 630 
i 512	 783 	 391 
i 629	 844 	 304 
i 880	 82 	 750 
i 815	 858 	 961 
i 691	 770 	 303 
i 847	 56 	 246 
i 949	 866 	 333 
i 189	 153 	 991 
i 39	 189 	 642 
i 669	 955 	 553 
i 60	 468 	 664 
i 364	 98 	 447 
i 115	 977 	 291 
i 76	 793 	 373 
i 379	 485 	 231 
i 624	 332 	 2 
