c Instance Type h
c
n 600
c w	 v1	 v2
i 740	 373 	 370 
i 830	 694 	 366 
i 285	 577 	 951 
i 161	 775 	 363 
i 585	 928 	 160 
i 116	 296 	 712 
i 741	 456 	 118 
i 872	 504 	 355 
i 49	 521 	 16 
i 97	 57 	 34 
i 467	 797 	 270 
i 833	 627 	 643 
i 784	 912 	 337 
i 147	 74 	 914 
i 307	 658 	 690 
i 19	 774 	 618 
i 137	 515 	 913 
i 492	 387 	 369 
i 507	 435 	 873 
i 540	 532 	 394 
i 810	 998 	 451 
i 453	 832 	 249 
i 790	 616 	 876 
i 704	 763 	 788 
i 394	 70 	 861 
i 12	 88 	 519 
i 925	 225 	 293 
i 295	 716 	 807 
i 168	 223 	 195 
i 562	 763 	 629 
i 13	 573 	 162 
i 262	 26 	 161 
i 138	 815 	 992 
i 925	 519 	 609 
i 786	 913 	 372 
i 306	 925 	 441 
i 599	 850 	 529 
i 406	 145 	 753 
i 600	 312 	 470 
i 230	 873 	 692 
i 392	 886 	 455 
i 552	 148 	 28 
i 544	 285 	 54 
i 154	 211 	 869 
i 525	 997 	 389 
i 966	 303 	 302 
i 496	 901 	 227 
i 250	 308 	 77 
i 719	 908 	 222 
i 412	 139 	 533 
i 866	 530 	 407 
i 894	 82 	 294 
i 948	 626 	 441 
i 817	 779 	 726 
i 206	 305 	 936 
i 508	 272 	 933 
i 735	 767 	 237 
i 812	 17 	 138 
i 34	 735 	 445 
i 567	 148 	 354 
i 973	 14 	 492 
i 267	 908 	 22 
i 708	 856 	 104 
i 434	 674 	 729 
i 371	 880 	 509 
i 305	 388 	 814 
i 541	 124 	 86 
i 678	 935 	 852 
i 124	 968 	 869 
i 477	 536 	 605 
i 968	 510 	 752 
i 990	 777 	 766 
i 94	 485 	 674 
i 823	 919 	 531 
i 332	 290 	 205 
i 146	 594 	 85 
i 232	 135 	 473 
i 84	 813 	 596 
i 953	 937 	 531 
i 558	 414 	 500 
i 310	 383 	 37 
i 77	 374 	 546 
i 750	 467 	 323 
i 282	 290 	 808 
i 486	 622 	 727 
i 571	 768 	 18 
i 44	 999 	 612 
i 640	 84 	 747 
i 172	 37 	 560 
i 672	 594 	 498 
i 708	 904 	 912 
i 255	 980 	 295 
i 578	 731 	 669 
i 386	 13 	 136 
i 113	 499 	 426 
i 131	 70 	 49 
i 742	 114 	 816 
i 489	 754 	 815 
i 50	 925 	 898 
i 547	 598 	 935 
i 459	 306 	 529 
i 754	 561 	 434 
i 423	 139 	 415 
i 559	 524 	 146 
i 984	 637 	 159 
i 34	 767 	 657 
i 849	 509 	 727 
i 665	 998 	 840 
i 564	 48 	 594 
i 499	 594 	 520 
i 29	 54 	 118 
i 462	 807 	 424 
i 876	 230 	 984 
i 23	 788 	 124 
i 181	 773 	 647 
i 838	 806 	 285 
i 565	 656 	 52 
i 405	 321 	 561 
i 999	 885 	 560 
i 519	 384 	 607 
i 637	 412 	 202 
i 61	 873 	 255 
i 46	 750 	 62 
i 169	 773 	 292 
i 816	 953 	 81 
i 101	 791 	 853 
i 153	 357 	 660 
i 713	 761 	 317 
i 273	 761 	 638 
i 880	 281 	 523 
i 83	 917 	 906 
i 337	 978 	 319 
i 399	 25 	 192 
i 690	 194 	 942 
i 770	 10 	 715 
i 624	 110 	 669 
i 285	 262 	 461 
i 601	 975 	 817 
i 240	 249 	 579 
i 762	 130 	 341 
i 669	 212 	 621 
i 987	 548 	 539 
i 180	 947 	 517 
i 122	 637 	 542 
i 837	 408 	 735 
i 506	 32 	 744 
i 967	 317 	 854 
i 785	 917 	 117 
i 364	 158 	 92 
i 704	 919 	 341 
i 326	 588 	 470 
i 864	 576 	 681 
i 382	 755 	 230 
i 923	 877 	 178 
i 658	 714 	 815 
i 403	 221 	 223 
i 258	 189 	 255 
i 374	 973 	 571 
i 466	 338 	 489 
i 806	 42 	 646 
i 277	 367 	 566 
i 958	 232 	 155 
i 188	 613 	 730 
i 365	 536 	 486 
i 181	 195 	 363 
i 403	 598 	 78 
i 658	 855 	 299 
i 229	 230 	 487 
i 718	 695 	 461 
i 365	 502 	 798 
i 930	 778 	 840 
i 86	 736 	 208 
i 815	 924 	 439 
i 302	 290 	 53 
i 664	 470 	 588 
i 742	 872 	 783 
i 42	 530 	 382 
i 529	 759 	 238 
i 989	 478 	 467 
i 788	 842 	 162 
i 628	 773 	 664 
i 836	 858 	 442 
i 275	 674 	 179 
i 327	 975 	 103 
i 915	 640 	 392 
i 699	 383 	 861 
i 81	 425 	 734 
i 319	 953 	 265 
i 785	 943 	 25 
i 947	 731 	 502 
i 611	 359 	 345 
i 54	 196 	 119 
i 232	 470 	 977 
i 334	 797 	 652 
i 726	 712 	 628 
i 587	 412 	 269 
i 322	 493 	 651 
i 586	 811 	 76 
i 611	 596 	 30 
i 114	 544 	 972 
i 458	 155 	 703 
i 577	 208 	 63 
i 554	 440 	 258 
i 207	 773 	 728 
i 834	 499 	 525 
i 103	 87 	 238 
i 754	 408 	 649 
