c Instance Type h
c
n 500
c w	 v1	 v2
i 931	 106 	 530 
i 425	 607 	 352 
i 280	 24 	 345 
i 711	 80 	 890 
i 903	 260 	 22 
i 449	 859 	 740 
i 547	 209 	 281 
i 77	 879 	 410 
i 600	 530 	 527 
i 821	 656 	 449 
i 351	 587 	 627 
i 703	 13 	 732 
i 48	 292 	 340 
i 938	 4 	 363 
i 960	 906 	 443 
i 700	 355 	 703 
i 980	 901 	 562 
i 391	 978 	 771 
i 918	 578 	 650 
i 368	 399 	 180 
i 995	 750 	 836 
i 728	 453 	 423 
i 68	 501 	 436 
i 431	 439 	 727 
i 874	 400 	 730 
i 577	 100 	 637 
i 140	 81 	 991 
i 911	 471 	 892 
i 561	 390 	 871 
i 741	 757 	 449 
i 577	 753 	 848 
i 1	 481 	 599 
i 436	 548 	 52 
i 164	 979 	 553 
i 894	 854 	 992 
i 531	 431 	 392 
i 522	 571 	 491 
i 415	 482 	 571 
i 286	 43 	 43 
i 735	 784 	 433 
i 584	 361 	 191 
i 183	 361 	 943 
i 234	 796 	 424 
i 787	 960 	 972 
i 779	 854 	 952 
i 171	 385 	 806 
i 661	 907 	 238 
i 233	 323 	 808 
i 276	 609 	 291 
i 708	 344 	 334 
i 898	 927 	 118 
i 841	 110 	 478 
i 265	 344 	 838 
i 238	 131 	 635 
i 190	 909 	 595 
i 995	 81 	 449 
i 233	 742 	 834 
i 42	 974 	 742 
i 332	 250 	 65 
i 666	 958 	 673 
i 783	 856 	 17 
i 261	 698 	 944 
i 100	 963 	 54 
i 734	 201 	 398 
i 330	 390 	 528 
i 778	 386 	 438 
i 613	 619 	 518 
i 355	 661 	 260 
i 420	 993 	 235 
i 93	 659 	 484 
i 110	 442 	 442 
i 54	 703 	 299 
i 108	 802 	 996 
i 506	 537 	 959 
i 34	 867 	 160 
i 472	 646 	 550 
i 989	 259 	 936 
i 249	 614 	 556 
i 484	 34 	 217 
i 967	 127 	 210 
i 410	 236 	 869 
i 709	 290 	 311 
i 705	 398 	 15 
i 665	 903 	 817 
i 825	 937 	 354 
i 375	 409 	 222 
i 312	 398 	 867 
i 867	 647 	 127 
i 85	 131 	 740 
i 295	 99 	 773 
i 164	 509 	 899 
i 474	 218 	 136 
i 488	 923 	 425 
i 306	 588 	 823 
i 659	 413 	 726 
i 881	 788 	 663 
i 748	 101 	 73 
i 874	 968 	 470 
i 615	 53 	 118 
i 389	 347 	 249 
i 289	 510 	 348 
i 424	 984 	 856 
i 849	 473 	 75 
i 672	 778 	 997 
i 398	 438 	 586 
i 62	 319 	 999 
i 134	 68 	 787 
i 604	 942 	 888 
i 722	 557 	 856 
i 970	 945 	 908 
i 318	 234 	 256 
i 175	 657 	 766 
i 249	 507 	 750 
i 247	 179 	 224 
i 832	 577 	 3 
i 832	 639 	 440 
i 620	 772 	 759 
i 508	 377 	 827 
i 364	 99 	 769 
i 272	 70 	 326 
i 527	 388 	 271 
i 294	 562 	 504 
i 44	 811 	 162 
i 268	 58 	 668 
i 270	 890 	 847 
i 710	 722 	 424 
i 470	 342 	 64 
i 297	 849 	 836 
i 67	 214 	 213 
i 392	 485 	 312 
i 663	 13 	 381 
i 168	 306 	 769 
i 329	 350 	 331 
i 997	 618 	 142 
i 845	 887 	 200 
i 269	 598 	 90 
i 333	 68 	 812 
i 169	 365 	 154 
i 381	 431 	 4 
i 693	 822 	 217 
i 75	 486 	 702 
i 843	 653 	 715 
i 174	 982 	 22 
i 316	 980 	 371 
i 515	 825 	 989 
i 605	 95 	 876 
i 417	 427 	 474 
i 571	 595 	 542 
i 575	 976 	 906 
i 792	 669 	 338 
i 494	 743 	 161 
i 210	 586 	 646 
i 231	 760 	 300 
i 602	 77 	 282 
i 591	 591 	 262 
i 468	 196 	 87 
i 942	 613 	 182 
i 484	 184 	 608 
i 391	 759 	 203 
i 729	 551 	 179 
i 889	 45 	 847 
i 535	 255 	 591 
i 835	 485 	 178 
i 117	 88 	 938 
i 379	 678 	 15 
i 466	 146 	 606 
i 647	 89 	 802 
i 255	 572 	 415 
i 458	 963 	 599 
i 636	 692 	 358 
i 484	 581 	 909 
i 76	 117 	 954 
i 253	 951 	 209 
i 191	 69 	 693 
i 206	 447 	 780 
i 811	 912 	 459 
i 613	 560 	 605 
i 29	 814 	 693 
i 627	 272 	 266 
i 985	 908 	 229 
i 894	 393 	 921 
i 848	 468 	 503 
i 58	 721 	 619 
i 750	 912 	 571 
i 531	 118 	 640 
i 990	 929 	 88 
i 595	 543 	 1 
i 289	 571 	 560 
i 554	 199 	 375 
i 783	 184 	 646 
i 704	 79 	 555 
i 207	 927 	 948 
i 826	 984 	 416 
i 398	 735 	 138 
i 38	 267 	 51 
i 126	 257 	 168 
i 126	 852 	 98 
i 685	 141 	 640 
i 60	 695 	 211 
i 706	 478 	 409 
i 262	 182 	 593 
i 210	 389 	 672 
i 626	 215 	 599 
i 763	 613 	 583 
i 813	 651 	 319 
i 981	 776 	 585 
i 79	 901 	 841 
i 719	 586 	 693 
i 930	 646 	 834 
i 340	 352 	 529 
i 932	 613 	 8 
i 604	 822 	 190 
i 204	 448 	 578 
i 787	 212 	 793 
i 106	 26 	 406 
i 690	 7 	 57 
i 531	 86 	 833 
i 225	 805 	 734 
i 60	 735 	 321 
i 589	 75 	 966 
i 596	 8 	 319 
i 786	 612 	 932 
i 364	 815 	 754 
i 158	 602 	 203 
i 564	 708 	 415 
i 621	 398 	 440 
i 454	 929 	 447 
i 188	 155 	 532 
i 508	 214 	 337 
i 475	 802 	 72 
i 793	 399 	 147 
i 725	 185 	 154 
i 480	 549 	 765 
i 683	 707 	 581 
i 98	 271 	 183 
i 538	 892 	 891 
i 984	 346 	 289 
i 517	 534 	 219 
i 853	 43 	 373 
i 925	 517 	 587 
i 73	 311 	 390 
i 226	 36 	 788 
i 991	 516 	 973 
i 572	 199 	 523 
i 755	 297 	 230 
i 646	 835 	 501 
i 935	 819 	 393 
i 154	 336 	 739 
i 526	 190 	 273 
i 113	 116 	 315 
i 502	 189 	 832 
i 291	 414 	 143 
i 265	 406 	 179 
i 787	 977 	 694 
i 18	 732 	 893 
i 518	 379 	 191 
i 911	 314 	 26 
i 650	 468 	 845 
i 923	 993 	 181 
i 239	 107 	 371 
i 71	 609 	 487 
i 214	 900 	 675 
i 392	 165 	 90 
