c Instance Type h
c
n 500
c w	 v1	 v2
i 82	 899 	 288 
i 481	 255 	 566 
i 326	 14 	 385 
i 648	 894 	 237 
i 963	 4 	 653 
i 201	 443 	 38 
i 807	 995 	 843 
i 835	 198 	 588 
i 395	 651 	 522 
i 609	 432 	 326 
i 896	 513 	 606 
i 463	 994 	 505 
i 847	 321 	 760 
i 84	 968 	 774 
i 736	 931 	 668 
i 774	 132 	 672 
i 618	 939 	 115 
i 206	 774 	 110 
i 727	 169 	 308 
i 53	 777 	 958 
i 659	 674 	 391 
i 164	 137 	 903 
i 924	 983 	 898 
i 699	 68 	 219 
i 368	 804 	 187 
i 40	 578 	 119 
i 155	 196 	 250 
i 265	 402 	 189 
i 572	 129 	 963 
i 531	 182 	 132 
i 921	 840 	 909 
i 825	 5 	 583 
i 723	 929 	 719 
i 941	 628 	 703 
i 129	 995 	 771 
i 247	 35 	 575 
i 497	 190 	 153 
i 686	 454 	 349 
i 649	 27 	 750 
i 780	 557 	 879 
i 690	 479 	 61 
i 273	 304 	 901 
i 992	 28 	 905 
i 696	 968 	 835 
i 467	 98 	 463 
i 42	 344 	 458 
i 195	 840 	 493 
i 543	 527 	 682 
i 293	 176 	 137 
i 173	 956 	 163 
i 233	 646 	 720 
i 135	 919 	 199 
i 41	 911 	 503 
i 875	 607 	 530 
i 338	 75 	 499 
i 796	 116 	 596 
i 289	 310 	 940 
i 971	 853 	 781 
i 108	 147 	 308 
i 271	 319 	 483 
i 990	 552 	 439 
i 189	 686 	 86 
i 692	 726 	 5 
i 222	 602 	 915 
i 721	 940 	 523 
i 317	 736 	 598 
i 258	 26 	 713 
i 39	 997 	 24 
i 346	 105 	 877 
i 829	 375 	 24 
i 269	 366 	 343 
i 354	 555 	 894 
i 359	 247 	 581 
i 275	 469 	 308 
i 797	 190 	 909 
i 395	 507 	 849 
i 109	 764 	 586 
i 133	 802 	 611 
i 11	 149 	 608 
i 34	 977 	 713 
i 377	 246 	 89 
i 271	 600 	 454 
i 852	 958 	 9 
i 160	 233 	 255 
i 69	 31 	 723 
i 918	 426 	 913 
i 504	 535 	 420 
i 115	 667 	 184 
i 723	 677 	 985 
i 436	 711 	 134 
i 525	 88 	 112 
i 978	 359 	 357 
i 987	 211 	 957 
i 242	 371 	 915 
i 965	 439 	 149 
i 878	 358 	 179 
i 298	 861 	 605 
i 482	 976 	 140 
i 468	 699 	 807 
i 601	 136 	 485 
i 713	 660 	 197 
i 71	 638 	 285 
i 28	 625 	 643 
i 943	 867 	 854 
i 92	 833 	 226 
i 271	 712 	 665 
i 875	 11 	 23 
i 16	 492 	 883 
i 822	 959 	 859 
i 308	 561 	 558 
i 504	 274 	 694 
i 788	 344 	 354 
i 432	 371 	 992 
i 287	 314 	 618 
i 512	 406 	 485 
i 177	 676 	 319 
i 199	 552 	 31 
i 83	 567 	 41 
i 942	 390 	 532 
i 500	 697 	 492 
i 195	 201 	 53 
i 548	 989 	 326 
i 540	 422 	 670 
i 159	 708 	 42 
i 643	 221 	 356 
i 962	 397 	 761 
i 992	 596 	 437 
i 33	 679 	 988 
i 565	 621 	 556 
i 57	 121 	 945 
i 109	 316 	 642 
i 435	 863 	 843 
i 106	 404 	 833 
i 147	 562 	 255 
i 502	 206 	 963 
i 263	 168 	 184 
i 700	 161 	 580 
i 689	 193 	 177 
i 246	 758 	 855 
i 191	 815 	 476 
i 833	 924 	 597 
i 677	 359 	 912 
i 510	 465 	 776 
i 765	 611 	 180 
i 728	 114 	 742 
i 911	 377 	 947 
i 492	 77 	 116 
i 668	 766 	 276 
i 524	 12 	 469 
i 999	 203 	 228 
i 597	 37 	 43 
i 509	 713 	 966 
i 285	 224 	 326 
i 465	 988 	 790 
i 207	 716 	 402 
i 155	 628 	 515 
i 271	 120 	 891 
i 547	 788 	 968 
i 16	 312 	 735 
i 244	 312 	 747 
i 286	 908 	 949 
i 252	 417 	 985 
i 578	 702 	 698 
i 368	 168 	 922 
i 770	 375 	 910 
i 285	 529 	 627 
i 177	 800 	 256 
i 146	 347 	 375 
i 880	 363 	 164 
i 627	 606 	 475 
i 576	 891 	 786 
i 562	 144 	 694 
i 261	 721 	 112 
i 183	 90 	 813 
i 93	 860 	 980 
i 720	 145 	 356 
i 975	 322 	 885 
i 351	 467 	 685 
i 514	 347 	 32 
i 988	 973 	 395 
i 775	 550 	 1 
i 469	 112 	 892 
i 581	 373 	 37 
i 395	 555 	 758 
i 376	 648 	 848 
i 731	 369 	 708 
i 616	 344 	 853 
i 301	 694 	 175 
i 333	 209 	 641 
i 728	 198 	 988 
i 728	 972 	 962 
i 621	 442 	 512 
i 657	 23 	 624 
i 416	 417 	 997 
i 264	 792 	 552 
i 971	 523 	 200 
i 824	 140 	 568 
i 999	 440 	 912 
i 640	 773 	 607 
i 628	 501 	 815 
i 591	 230 	 14 
i 104	 850 	 985 
i 727	 508 	 428 
i 724	 923 	 450 
i 277	 188 	 867 
i 477	 159 	 660 
i 46	 983 	 184 
i 957	 982 	 323 
i 565	 623 	 763 
i 381	 252 	 536 
i 394	 842 	 38 
i 379	 945 	 267 
i 807	 673 	 118 
i 257	 398 	 626 
i 125	 674 	 549 
i 784	 152 	 737 
i 968	 197 	 895 
i 291	 155 	 879 
i 54	 719 	 861 
i 590	 100 	 485 
i 628	 494 	 736 
i 894	 873 	 578 
i 13	 680 	 524 
i 638	 937 	 197 
i 187	 62 	 594 
i 924	 846 	 269 
i 819	 814 	 420 
i 699	 105 	 617 
i 561	 159 	 771 
i 46	 749 	 490 
i 781	 377 	 590 
i 360	 272 	 84 
i 883	 284 	 956 
i 81	 921 	 636 
i 675	 109 	 573 
i 944	 33 	 635 
i 364	 852 	 481 
i 980	 551 	 295 
i 752	 112 	 400 
i 242	 158 	 558 
i 832	 938 	 308 
i 915	 299 	 684 
i 872	 183 	 955 
i 509	 263 	 240 
i 83	 938 	 161 
i 717	 882 	 269 
i 199	 247 	 302 
i 493	 227 	 154 
i 893	 979 	 704 
i 452	 221 	 816 
i 759	 54 	 973 
i 444	 969 	 912 
i 400	 841 	 212 
i 639	 351 	 394 
i 800	 433 	 657 
i 70	 151 	 596 
i 371	 350 	 478 
i 524	 843 	 724 
i 229	 736 	 951 
i 45	 188 	 930 
i 19	 947 	 152 
i 931	 392 	 205 
i 143	 791 	 174 
i 537	 431 	 16 
i 195	 231 	 366 
i 790	 300 	 799 
i 268	 670 	 950 
i 992	 195 	 300 
i 943	 423 	 144 
i 874	 468 	 879 
i 26	 487 	 68 
i 231	 418 	 16 
i 404	 561 	 407 
i 420	 98 	 198 
i 786	 292 	 629 
i 585	 82 	 859 
i 536	 350 	 160 
i 836	 342 	 829 
i 979	 286 	 25 
i 859	 160 	 448 
i 927	 185 	 915 
i 942	 415 	 403 
i 349	 819 	 820 
i 547	 239 	 382 
i 176	 26 	 479 
i 35	 611 	 771 
i 195	 147 	 853 
i 25	 983 	 203 
i 49	 963 	 545 
i 496	 822 	 830 
i 412	 750 	 989 
i 814	 692 	 175 
i 635	 41 	 589 
i 17	 588 	 409 
i 495	 763 	 648 
i 267	 798 	 673 
i 120	 992 	 284 
i 322	 17 	 431 
i 867	 65 	 414 
i 697	 561 	 377 
i 686	 972 	 200 
i 860	 786 	 949 
i 450	 421 	 642 
i 859	 437 	 682 
i 507	 932 	 270 
i 180	 199 	 34 
i 464	 318 	 831 
i 894	 640 	 823 
i 309	 507 	 840 
i 685	 205 	 905 
i 885	 891 	 466 
i 834	 751 	 438 
i 476	 202 	 224 
i 159	 61 	 645 
i 429	 568 	 83 
i 463	 748 	 15 
i 294	 212 	 213 
i 118	 107 	 531 
i 957	 415 	 171 
i 862	 101 	 678 
i 328	 985 	 882 
i 766	 820 	 773 
i 990	 297 	 525 
i 635	 456 	 727 
i 718	 884 	 788 
i 732	 347 	 356 
i 945	 641 	 104 
i 476	 758 	 316 
i 647	 716 	 422 
i 326	 579 	 836 
i 208	 906 	 936 
i 981	 673 	 922 
i 507	 663 	 742 
i 235	 299 	 39 
i 23	 17 	 494 
i 378	 749 	 379 
i 482	 694 	 726 
i 797	 171 	 367 
i 220	 817 	 126 
i 57	 144 	 841 
i 993	 352 	 420 
i 915	 333 	 327 
i 657	 840 	 1 
i 696	 75 	 663 
i 191	 97 	 962 
i 570	 475 	 978 
i 296	 956 	 727 
i 663	 754 	 422 
i 788	 973 	 592 
i 630	 30 	 410 
i 50	 23 	 553 
i 377	 938 	 904 
i 377	 596 	 238 
i 41	 293 	 79 
i 3	 483 	 153 
i 981	 53 	 250 
i 709	 349 	 725 
i 131	 12 	 682 
i 723	 800 	 436 
i 134	 430 	 410 
i 686	 480 	 440 
i 591	 856 	 462 
i 829	 234 	 401 
i 907	 274 	 996 
i 61	 277 	 289 
i 311	 258 	 772 
i 36	 966 	 825 
i 717	 98 	 174 
i 154	 820 	 186 
i 563	 953 	 985 
i 3	 640 	 415 
i 465	 232 	 894 
i 865	 61 	 751 
i 862	 968 	 984 
i 152	 30 	 259 
i 923	 341 	 535 
i 748	 377 	 792 
i 922	 95 	 759 
i 108	 248 	 856 
i 93	 811 	 676 
i 507	 813 	 630 
i 402	 279 	 270 
i 153	 145 	 501 
i 137	 7 	 562 
i 396	 159 	 530 
i 930	 83 	 560 
i 723	 831 	 900 
i 482	 753 	 278 
i 338	 861 	 372 
i 15	 953 	 619 
i 644	 461 	 430 
i 914	 863 	 244 
i 415	 16 	 522 
i 977	 153 	 667 
i 508	 548 	 674 
i 68	 479 	 832 
i 968	 202 	 914 
i 246	 683 	 745 
i 617	 22 	 499 
i 237	 36 	 360 
i 667	 680 	 314 
i 910	 594 	 775 
i 433	 9 	 638 
i 100	 986 	 654 
i 774	 494 	 806 
i 606	 561 	 355 
i 521	 530 	 833 
i 267	 776 	 36 
i 765	 394 	 718 
i 126	 630 	 740 
i 439	 298 	 775 
i 215	 209 	 455 
i 852	 641 	 49 
i 507	 741 	 58 
i 314	 515 	 44 
i 668	 122 	 538 
i 502	 642 	 100 
i 537	 908 	 629 
i 256	 674 	 405 
i 995	 799 	 798 
i 771	 239 	 429 
i 227	 453 	 726 
i 275	 306 	 934 
i 333	 812 	 576 
i 377	 126 	 318 
i 914	 793 	 833 
i 14	 296 	 954 
i 643	 833 	 597 
i 48	 90 	 506 
i 846	 86 	 180 
i 276	 856 	 979 
i 3	 83 	 218 
i 936	 358 	 670 
i 513	 691 	 975 
i 830	 69 	 787 
i 663	 983 	 912 
i 618	 996 	 706 
i 215	 640 	 3 
i 720	 688 	 835 
i 900	 534 	 925 
i 879	 810 	 11 
i 97	 812 	 867 
i 767	 748 	 950 
i 742	 262 	 309 
i 530	 92 	 999 
i 442	 755 	 69 
i 149	 373 	 52 
i 151	 587 	 48 
