c Instance Type h
c
n 500
c w	 v1	 v2
i 659	 550 	 669 
i 512	 582 	 178 
i 354	 513 	 409 
i 121	 307 	 415 
i 249	 131 	 974 
i 334	 242 	 694 
i 695	 896 	 633 
i 724	 866 	 437 
i 804	 473 	 281 
i 767	 833 	 528 
i 437	 492 	 861 
i 614	 5 	 412 
i 23	 358 	 993 
i 437	 479 	 507 
i 411	 727 	 813 
i 106	 61 	 944 
i 738	 756 	 186 
i 176	 480 	 82 
i 457	 285 	 948 
i 984	 52 	 421 
i 846	 488 	 254 
i 258	 103 	 746 
i 251	 125 	 750 
i 758	 561 	 109 
i 572	 972 	 587 
i 516	 78 	 314 
i 702	 816 	 375 
i 784	 991 	 131 
i 732	 448 	 611 
i 154	 433 	 895 
i 408	 279 	 947 
i 155	 536 	 436 
i 904	 787 	 538 
i 14	 545 	 662 
i 600	 117 	 224 
i 914	 633 	 197 
i 290	 335 	 274 
i 421	 120 	 91 
i 32	 851 	 83 
i 927	 6 	 531 
i 874	 414 	 963 
i 311	 568 	 242 
i 848	 472 	 777 
i 511	 486 	 564 
i 734	 86 	 110 
i 931	 1 	 227 
i 206	 290 	 859 
i 296	 710 	 195 
i 379	 741 	 314 
i 909	 669 	 166 
i 872	 544 	 171 
i 115	 854 	 585 
i 892	 702 	 153 
i 456	 214 	 625 
i 566	 947 	 111 
i 792	 879 	 196 
i 652	 85 	 196 
i 846	 380 	 485 
i 160	 758 	 196 
i 326	 668 	 936 
i 497	 541 	 606 
i 82	 656 	 150 
i 234	 548 	 4 
i 858	 5 	 706 
i 968	 570 	 919 
i 165	 363 	 867 
i 361	 15 	 746 
i 846	 860 	 830 
i 42	 21 	 211 
i 978	 347 	 969 
i 584	 843 	 637 
i 733	 924 	 179 
i 737	 159 	 834 
i 444	 18 	 382 
i 363	 985 	 386 
i 231	 151 	 956 
i 976	 511 	 319 
i 807	 358 	 333 
i 18	 399 	 194 
i 987	 377 	 214 
i 624	 961 	 560 
i 803	 695 	 404 
i 637	 432 	 329 
i 20	 876 	 487 
i 405	 239 	 504 
i 362	 470 	 490 
i 680	 447 	 641 
i 13	 254 	 152 
i 206	 272 	 509 
i 420	 259 	 908 
i 980	 883 	 286 
i 384	 686 	 247 
i 712	 323 	 941 
i 200	 343 	 374 
i 704	 747 	 250 
i 194	 110 	 489 
i 835	 789 	 958 
i 986	 802 	 405 
i 496	 9 	 659 
i 405	 428 	 930 
i 690	 408 	 189 
i 936	 792 	 72 
i 878	 504 	 758 
i 252	 704 	 82 
i 502	 408 	 424 
i 990	 602 	 172 
i 949	 437 	 281 
i 354	 424 	 70 
i 14	 920 	 872 
i 943	 325 	 880 
i 133	 15 	 309 
i 205	 950 	 716 
i 962	 828 	 509 
i 44	 81 	 14 
i 468	 582 	 717 
i 639	 573 	 126 
i 919	 522 	 727 
i 989	 876 	 165 
i 862	 889 	 588 
i 742	 833 	 508 
i 51	 965 	 832 
i 767	 171 	 846 
i 276	 133 	 797 
i 289	 177 	 626 
i 7	 644 	 706 
i 132	 284 	 289 
i 859	 204 	 861 
i 24	 194 	 384 
i 611	 56 	 260 
i 119	 797 	 150 
i 951	 847 	 982 
i 798	 615 	 948 
i 595	 890 	 119 
i 222	 180 	 252 
i 927	 187 	 429 
i 217	 318 	 74 
i 79	 177 	 357 
i 462	 200 	 561 
i 721	 811 	 754 
i 871	 930 	 809 
i 854	 881 	 606 
i 802	 679 	 454 
i 921	 275 	 69 
i 174	 496 	 959 
i 603	 424 	 140 
i 676	 640 	 326 
i 34	 719 	 644 
i 594	 181 	 820 
i 349	 902 	 21 
i 158	 773 	 831 
i 764	 627 	 762 
i 219	 430 	 643 
i 288	 352 	 323 
i 247	 526 	 597 
i 387	 129 	 94 
i 712	 805 	 517 
i 357	 838 	 158 
i 177	 433 	 876 
i 198	 781 	 57 
i 30	 939 	 959 
i 791	 703 	 732 
i 435	 921 	 360 
i 757	 209 	 790 
i 355	 456 	 143 
i 448	 843 	 668 
i 964	 556 	 796 
i 123	 912 	 602 
i 998	 90 	 440 
i 56	 287 	 873 
i 15	 317 	 655 
i 747	 109 	 594 
i 107	 543 	 298 
i 897	 300 	 219 
i 40	 655 	 428 
i 708	 103 	 884 
i 504	 67 	 727 
i 107	 189 	 283 
i 546	 188 	 196 
i 420	 243 	 285 
i 75	 258 	 572 
i 669	 5 	 888 
i 966	 112 	 996 
i 186	 9 	 540 
i 614	 49 	 840 
i 498	 756 	 495 
i 226	 261 	 597 
i 509	 367 	 664 
i 704	 913 	 853 
i 988	 333 	 41 
i 561	 408 	 284 
i 449	 77 	 542 
i 446	 44 	 546 
i 985	 229 	 657 
i 826	 842 	 666 
i 321	 341 	 714 
i 918	 566 	 470 
i 582	 76 	 731 
i 435	 779 	 98 
i 476	 768 	 11 
i 760	 329 	 344 
i 302	 778 	 752 
i 848	 225 	 829 
i 506	 210 	 872 
i 172	 37 	 102 
i 886	 357 	 944 
i 357	 275 	 285 
i 88	 857 	 851 
i 185	 293 	 927 
i 196	 769 	 707 
i 540	 530 	 475 
i 292	 832 	 804 
i 121	 680 	 582 
i 993	 186 	 807 
i 95	 357 	 18 
i 39	 244 	 54 
i 324	 600 	 411 
i 176	 687 	 686 
i 103	 872 	 543 
i 809	 68 	 836 
i 285	 607 	 605 
i 89	 899 	 135 
i 671	 20 	 966 
i 478	 13 	 647 
i 495	 108 	 832 
i 549	 147 	 190 
i 959	 470 	 433 
i 645	 646 	 33 
i 188	 748 	 720 
i 24	 558 	 592 
i 629	 842 	 660 
i 763	 931 	 268 
i 730	 603 	 167 
i 377	 82 	 187 
i 210	 577 	 200 
i 399	 126 	 307 
i 832	 85 	 453 
i 865	 729 	 923 
i 585	 917 	 569 
i 178	 941 	 317 
i 837	 570 	 875 
i 105	 334 	 718 
i 272	 64 	 649 
i 458	 441 	 253 
i 657	 650 	 334 
i 964	 50 	 910 
i 417	 882 	 36 
i 340	 747 	 121 
i 909	 332 	 850 
i 227	 510 	 767 
i 102	 347 	 708 
i 819	 452 	 279 
i 469	 723 	 612 
i 721	 181 	 676 
i 55	 838 	 117 
i 965	 802 	 767 
i 2	 220 	 816 
i 122	 560 	 698 
i 971	 469 	 446 
i 738	 695 	 778 
i 447	 797 	 288 
i 725	 616 	 634 
i 337	 85 	 86 
i 13	 805 	 808 
i 130	 860 	 989 
i 896	 825 	 828 
i 713	 826 	 630 
i 412	 947 	 850 
i 857	 919 	 411 
i 636	 658 	 879 
i 923	 105 	 575 
i 558	 830 	 373 
i 644	 168 	 988 
i 453	 181 	 74 
i 442	 310 	 879 
i 270	 207 	 739 
i 900	 920 	 564 
i 751	 332 	 391 
i 162	 190 	 339 
i 42	 825 	 258 
i 617	 749 	 916 
i 989	 307 	 22 
i 978	 950 	 851 
i 52	 403 	 20 
i 930	 845 	 200 
i 669	 116 	 510 
i 234	 17 	 716 
i 625	 767 	 637 
i 963	 929 	 968 
i 222	 970 	 159 
i 138	 587 	 984 
i 159	 577 	 733 
i 11	 555 	 41 
i 30	 606 	 990 
i 229	 537 	 394 
i 739	 207 	 239 
i 456	 441 	 354 
i 93	 66 	 370 
i 61	 30 	 138 
i 220	 251 	 67 
i 204	 389 	 38 
i 937	 547 	 625 
i 977	 557 	 202 
i 967	 587 	 757 
i 361	 815 	 363 
i 600	 554 	 900 
i 954	 10 	 107 
i 325	 103 	 547 
i 462	 163 	 613 
i 529	 383 	 642 
i 566	 586 	 893 
i 191	 523 	 282 
i 393	 500 	 829 
i 150	 468 	 387 
i 513	 829 	 973 
i 413	 429 	 788 
i 519	 384 	 343 
i 67	 708 	 353 
i 679	 170 	 455 
i 322	 698 	 618 
i 215	 265 	 2 
i 497	 456 	 587 
i 326	 848 	 111 
i 712	 998 	 611 
i 685	 511 	 80 
i 474	 924 	 908 
i 817	 443 	 338 
i 171	 510 	 721 
i 626	 190 	 429 
i 245	 511 	 599 
i 246	 726 	 298 
i 833	 224 	 562 
i 943	 549 	 18 
i 555	 262 	 866 
i 634	 947 	 864 
i 543	 422 	 376 
i 880	 240 	 300 
i 602	 411 	 743 
i 31	 37 	 253 
i 630	 282 	 443 
i 927	 527 	 953 
i 489	 361 	 680 
i 507	 305 	 903 
i 374	 859 	 453 
i 239	 494 	 715 
i 614	 37 	 663 
i 913	 917 	 85 
i 657	 519 	 325 
i 910	 550 	 735 
i 353	 180 	 772 
i 307	 108 	 54 
i 986	 597 	 581 
i 890	 104 	 941 
i 344	 478 	 246 
i 59	 716 	 106 
i 721	 330 	 599 
i 806	 244 	 636 
i 131	 901 	 553 
i 866	 811 	 73 
i 638	 164 	 623 
i 691	 470 	 803 
i 273	 457 	 910 
i 214	 348 	 507 
i 460	 691 	 611 
i 565	 750 	 89 
i 164	 472 	 804 
i 799	 278 	 135 
i 353	 409 	 379 
i 425	 275 	 280 
i 48	 912 	 92 
i 850	 604 	 255 
i 761	 876 	 725 
i 268	 91 	 182 
i 879	 550 	 529 
i 967	 116 	 221 
i 772	 280 	 970 
i 907	 80 	 443 
i 287	 432 	 720 
i 567	 857 	 130 
i 658	 904 	 404 
i 912	 755 	 317 
i 638	 516 	 921 
i 819	 784 	 797 
i 349	 663 	 888 
i 570	 631 	 438 
i 541	 403 	 553 
i 983	 311 	 832 
i 703	 597 	 911 
i 833	 164 	 344 
i 238	 822 	 201 
i 554	 735 	 106 
i 476	 373 	 861 
i 274	 193 	 378 
i 162	 541 	 162 
i 599	 112 	 824 
i 153	 652 	 456 
i 985	 635 	 859 
i 897	 339 	 170 
i 242	 172 	 767 
i 442	 410 	 931 
i 548	 964 	 753 
i 409	 440 	 488 
i 786	 713 	 860 
i 948	 874 	 53 
i 772	 474 	 594 
i 228	 626 	 706 
i 87	 612 	 358 
i 257	 509 	 992 
i 24	 751 	 332 
i 955	 193 	 503 
i 708	 741 	 913 
i 197	 150 	 877 
i 58	 936 	 317 
i 111	 884 	 30 
i 705	 657 	 903 
i 411	 885 	 377 
i 768	 972 	 4 
i 761	 229 	 616 
i 93	 253 	 126 
i 596	 208 	 876 
i 509	 916 	 70 
i 386	 114 	 810 
i 703	 171 	 959 
i 732	 282 	 896 
i 636	 986 	 780 
i 14	 398 	 437 
i 18	 167 	 322 
i 633	 927 	 294 
i 758	 21 	 523 
i 634	 617 	 775 
i 703	 127 	 983 
i 513	 513 	 900 
i 473	 216 	 14 
i 369	 948 	 185 
i 150	 584 	 466 
i 586	 597 	 453 
i 908	 614 	 851 
i 203	 248 	 18 
i 725	 6 	 945 
i 500	 640 	 965 
i 484	 344 	 583 
i 384	 857 	 709 
i 397	 331 	 222 
i 582	 700 	 438 
i 49	 849 	 386 
i 501	 436 	 969 
i 352	 344 	 567 
i 370	 546 	 182 
i 315	 271 	 429 
i 280	 771 	 435 
i 863	 256 	 75 
i 572	 639 	 419 
i 794	 37 	 276 
i 232	 618 	 606 
i 617	 667 	 306 
i 587	 169 	 156 
i 154	 521 	 591 
i 335	 890 	 934 
i 764	 205 	 481 
i 199	 485 	 752 
i 274	 348 	 524 
i 692	 919 	 779 
i 968	 714 	 418 
i 575	 945 	 455 
i 881	 563 	 74 
i 37	 150 	 740 
i 627	 304 	 908 
i 562	 639 	 429 
i 43	 404 	 320 
i 794	 602 	 524 
i 318	 875 	 9 
i 98	 568 	 357 
i 515	 536 	 276 
i 970	 111 	 990 
i 44	 991 	 935 
i 784	 28 	 499 
i 693	 655 	 649 
i 123	 217 	 953 
i 442	 259 	 592 
i 966	 54 	 995 
i 974	 372 	 598 
i 331	 469 	 474 
i 607	 984 	 42 
i 597	 954 	 578 
i 533	 998 	 688 
i 33	 783 	 680 
