c Instance Type h
c
n 300
c w	 v1	 v2
i 274	 135 	 950 
i 578	 672 	 57 
i 824	 964 	 783 
i 701	 204 	 769 
i 785	 841 	 22 
i 39	 14 	 573 
i 620	 256 	 516 
i 548	 581 	 155 
i 457	 170 	 548 
i 347	 543 	 757 
i 297	 817 	 982 
i 353	 396 	 117 
i 136	 220 	 789 
i 905	 921 	 753 
i 927	 707 	 956 
i 501	 746 	 797 
i 17	 366 	 811 
i 171	 914 	 67 
i 718	 371 	 648 
i 476	 717 	 817 
i 458	 15 	 360 
i 575	 367 	 178 
i 364	 503 	 573 
i 118	 408 	 792 
i 75	 335 	 713 
i 872	 835 	 421 
i 683	 852 	 167 
i 750	 24 	 532 
i 398	 741 	 447 
i 216	 218 	 817 
i 576	 675 	 535 
i 753	 250 	 549 
i 326	 614 	 916 
i 118	 731 	 419 
i 831	 806 	 827 
i 252	 678 	 162 
i 419	 361 	 997 
i 950	 111 	 849 
i 397	 509 	 872 
i 215	 724 	 614 
i 750	 300 	 831 
i 300	 53 	 507 
i 217	 378 	 756 
i 635	 496 	 371 
i 462	 328 	 103 
i 624	 580 	 908 
i 621	 998 	 586 
i 471	 949 	 947 
i 343	 347 	 59 
i 957	 562 	 567 
i 789	 313 	 291 
i 296	 612 	 591 
i 53	 828 	 643 
i 423	 464 	 22 
i 525	 926 	 518 
i 433	 550 	 846 
i 20	 171 	 427 
i 966	 642 	 425 
i 25	 984 	 375 
i 591	 942 	 722 
i 882	 731 	 284 
i 473	 27 	 596 
i 117	 80 	 209 
i 139	 502 	 38 
i 657	 28 	 501 
i 503	 460 	 427 
i 929	 479 	 976 
i 355	 445 	 148 
i 730	 470 	 789 
i 452	 62 	 774 
i 735	 943 	 717 
i 332	 417 	 448 
i 541	 534 	 475 
i 578	 673 	 554 
i 79	 330 	 56 
i 506	 832 	 84 
i 483	 762 	 543 
i 631	 118 	 23 
i 421	 847 	 468 
i 195	 299 	 937 
i 912	 35 	 998 
i 360	 367 	 942 
i 835	 907 	 360 
i 389	 485 	 893 
i 445	 564 	 566 
i 528	 71 	 896 
i 72	 553 	 729 
i 94	 185 	 491 
i 562	 605 	 609 
i 500	 800 	 456 
i 498	 712 	 755 
i 441	 72 	 790 
i 801	 906 	 157 
i 694	 296 	 65 
i 261	 741 	 550 
i 157	 269 	 115 
i 885	 341 	 185 
i 377	 434 	 738 
i 985	 996 	 922 
i 442	 496 	 527 
i 197	 994 	 327 
i 986	 435 	 40 
i 144	 236 	 111 
i 208	 930 	 18 
i 757	 192 	 314 
i 871	 349 	 55 
i 57	 234 	 324 
i 794	 611 	 664 
i 717	 597 	 99 
i 245	 39 	 95 
i 572	 235 	 590 
i 611	 222 	 585 
i 721	 365 	 21 
i 739	 572 	 257 
i 53	 330 	 187 
i 108	 201 	 379 
i 431	 258 	 727 
i 95	 52 	 961 
i 194	 769 	 572 
i 288	 14 	 169 
i 878	 585 	 207 
i 463	 196 	 442 
i 483	 917 	 664 
i 739	 656 	 29 
i 926	 709 	 601 
i 305	 817 	 931 
i 32	 248 	 132 
i 993	 343 	 389 
i 565	 536 	 441 
i 734	 824 	 210 
i 941	 703 	 223 
i 383	 167 	 808 
i 47	 650 	 4 
i 76	 389 	 920 
i 677	 316 	 577 
i 608	 621 	 287 
i 740	 653 	 104 
i 130	 646 	 352 
i 570	 212 	 694 
i 780	 945 	 231 
i 4	 886 	 56 
i 811	 270 	 758 
i 815	 317 	 924 
i 736	 392 	 574 
i 314	 70 	 963 
i 600	 677 	 280 
i 704	 417 	 900 
i 56	 547 	 553 
i 750	 117 	 200 
i 980	 897 	 411 
i 37	 900 	 356 
i 794	 711 	 243 
i 718	 527 	 512 
i 293	 263 	 828 
i 256	 576 	 221 
i 535	 177 	 290 
i 436	 880 	 967 
i 989	 936 	 385 
i 189	 686 	 931 
i 600	 667 	 49 
i 956	 703 	 945 
i 199	 498 	 846 
i 711	 217 	 557 
i 540	 509 	 85 
i 760	 765 	 347 
i 51	 301 	 922 
i 18	 736 	 100 
i 403	 726 	 979 
i 334	 915 	 915 
i 383	 515 	 602 
i 328	 472 	 270 
i 174	 670 	 973 
i 731	 382 	 471 
i 816	 921 	 687 
i 163	 681 	 196 
i 86	 732 	 961 
i 185	 750 	 262 
i 165	 153 	 998 
i 80	 487 	 724 
i 682	 869 	 639 
i 951	 198 	 155 
i 924	 372 	 626 
i 395	 104 	 297 
i 83	 919 	 678 
i 279	 83 	 599 
i 240	 168 	 281 
i 501	 353 	 13 
i 499	 517 	 762 
i 224	 596 	 915 
i 863	 279 	 402 
i 18	 231 	 272 
i 643	 155 	 470 
i 939	 550 	 842 
i 618	 633 	 945 
i 218	 911 	 865 
i 498	 151 	 947 
i 511	 652 	 116 
i 274	 152 	 468 
i 190	 375 	 984 
i 592	 238 	 581 
i 863	 255 	 859 
i 334	 898 	 90 
i 176	 838 	 245 
i 122	 457 	 795 
i 986	 674 	 428 
i 934	 173 	 339 
i 50	 684 	 490 
i 517	 957 	 142 
i 501	 147 	 293 
i 82	 739 	 668 
i 940	 603 	 906 
i 31	 936 	 162 
i 275	 113 	 60 
i 71	 234 	 898 
i 498	 221 	 355 
i 837	 155 	 30 
i 327	 205 	 202 
i 469	 721 	 885 
i 762	 222 	 843 
i 430	 303 	 990 
i 336	 244 	 729 
i 498	 275 	 332 
i 558	 549 	 269 
i 456	 619 	 381 
i 811	 118 	 615 
i 840	 954 	 835 
i 43	 282 	 990 
i 927	 750 	 195 
i 771	 512 	 915 
i 761	 942 	 138 
i 491	 279 	 441 
i 822	 776 	 685 
i 92	 334 	 959 
i 472	 790 	 509 
i 88	 602 	 129 
i 922	 443 	 246 
i 913	 485 	 201 
i 109	 413 	 483 
i 25	 184 	 233 
i 162	 945 	 745 
i 603	 436 	 687 
i 288	 259 	 965 
i 248	 351 	 742 
i 756	 822 	 77 
i 884	 909 	 867 
i 131	 832 	 469 
i 332	 746 	 911 
i 814	 854 	 397 
i 47	 879 	 810 
i 792	 42 	 994 
i 479	 644 	 940 
i 445	 932 	 377 
i 187	 180 	 635 
i 264	 935 	 985 
i 131	 820 	 808 
i 600	 950 	 718 
i 512	 282 	 551 
i 908	 96 	 298 
i 718	 143 	 152 
i 713	 934 	 32 
i 653	 414 	 73 
i 30	 858 	 716 
i 665	 46 	 648 
i 651	 309 	 827 
i 459	 440 	 763 
i 178	 40 	 583 
i 728	 551 	 533 
i 26	 460 	 815 
i 178	 179 	 911 
i 209	 891 	 54 
i 281	 544 	 988 
i 997	 573 	 403 
i 645	 239 	 261 
i 473	 889 	 307 
i 237	 349 	 616 
i 819	 526 	 57 
i 353	 255 	 96 
i 169	 281 	 646 
i 80	 458 	 106 
i 134	 667 	 284 
i 123	 948 	 176 
i 525	 945 	 719 
i 786	 591 	 293 
i 93	 65 	 531 
i 709	 301 	 421 
i 765	 121 	 769 
i 860	 474 	 295 
i 507	 642 	 549 
i 613	 722 	 830 
i 897	 855 	 289 
i 73	 977 	 955 
i 792	 502 	 904 
i 85	 288 	 850 
i 616	 381 	 442 
i 37	 90 	 506 
i 805	 855 	 807 
i 101	 715 	 928 
i 650	 223 	 402 
i 480	 835 	 44 
i 768	 732 	 765 
c
c
W 71801
c end of file
